time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range
423,955,1242.65,404480,200.0,1580,5453.30810546875,-1.3411234736442565,0.0003,10700.674475097656,0.38722801208496094,-0.00034775566309690474,0.0,15790,0.00038226065,0.3
423,955,1239.86,404736,200.0,1581,1026.7950439453125,-1.5912828266620636,0.0003,3656.6962238311767,0.5838824510574341,-0.004197781812399626,0.005078125,15800,0.012463752,0.3
424,955,1237.69,404992,200.0,1582,3195.99560546875,-1.3955958306789398,0.0003,6849.423976135254,0.27339237928390503,-0.0038930392300244423,0.0046875,15810,0.008146138,0.3
424,955,1236.29,405248,200.0,1583,3341.677001953125,-1.3230084538459779,0.0003,5345.9455078125,0.46033215522766113,-0.0007261092192493379,0.0,15820,0.001370324,0.3
424,955,1228.78,405504,200.0,1584,10353.7275390625,-1.2772981226444244,0.0003,10653.218859863282,0.3726949095726013,0.00022719739936292172,0.0,15830,0.00033588381,0.3
424,955,1236.33,405760,200.0,1585,1564.2366943359375,-1.0409428954124451,0.0003,4161.463775634766,0.47033488750457764,-0.0007106142933480441,0.0,15840,0.0007707046,0.3
425,955,1239.5,406016,200.0,1586,6508.23193359375,-1.4762165188789367,0.0003,10498.631616210938,0.003121793270111084,-0.010394469648599625,0.01875,15850,0.01809109,0.3
425,955,1235.78,406272,200.0,1587,4611.21728515625,-1.3726257920265197,0.0003,7207.420202636718,0.5536767244338989,0.0004077286692336202,0.001171875,15860,0.0011304147,0.3
425,955,1231.41,406528,200.0,1588,2284.281982421875,-1.1022935867309571,0.0003,4439.3893768310545,0.45419377088546753,-0.0007851003087125718,0.00625,15870,0.0072867107,0.3
425,955,1233.71,406784,200.0,1589,293.2741394042969,-1.3050137102603911,0.0003,5451.759957885743,0.35965192317962646,-0.0014463374973274767,0.015625,15880,0.014172733,0.3
426,955,1239.99,407040,200.0,1590,2030.4609375,-1.4358762800693512,0.0003,6378.494424438477,0.2934039831161499,-0.0006768959574401379,0.0,15890,0.0007534516,0.3
426,955,1243.96,407296,200.0,1591,7106.49658203125,-1.5317183434963226,0.0003,11676.161071777344,0.24716079235076904,-4.2693968862295153e-05,0.0,15900,1.1380762e-05,0.3
426,955,1246.43,407552,200.0,1592,3503.9912109375,-1.5217538058757782,0.0003,3573.0891658782957,0.5980034470558167,-0.005785466590896249,0.075,15910,0.025144944,0.3
427,955,1249.87,407808,200.0,1593,6393.310546875,-1.5006219446659088,0.0003,6787.546354675293,0.2775700092315674,-0.00544500119285658,0.00546875,15920,0.012031358,0.3
427,955,1254.4,408064,200.0,1594,2772.249755859375,-1.4089350402355194,0.0003,8205.219805908204,0.4217836260795593,-0.002486067917197943,0.0,15930,0.005370025,0.3
427,955,1265.21,408320,200.0,1595,1746.78857421875,-1.347078311443329,0.0003,9104.036596679687,0.05123794078826904,-0.0006573920720256865,0.0,15940,0.00017507514,0.3
427,954,1257.2,408576,200.0,1596,5427.71337890625,-1.6051472842693328,0.0003,7129.731115722656,0.24296116828918457,-0.0024194046389311554,0.002734375,15950,0.0042710938,0.3
428,954,1256.45,408832,200.0,1597,2162.209228515625,-1.6283694326877594,0.0003,8936.766162109376,0.08114928007125854,-0.0061260379618033765,0.0,15960,0.0045322836,0.3
428,954,1257.95,409088,200.0,1598,3596.0693359375,-1.3408155500888825,0.0003,12490.903588867188,0.1374732255935669,0.00029448438435792924,0.0,15970,0.0006865815,0.3
428,954,1252.06,409344,200.0,1599,2604.540771484375,-1.4354765951633452,0.0003,3907.0361328125,0.4654708504676819,-0.00017212433740496636,0.0,15980,4.5782886e-05,0.3
428,954,1248.82,409600,200.0,1600,4685.01708984375,-1.5025146305561066,0.0003,4729.951071739197,0.43955522775650024,-0.0008180963224731386,0.0,15990,0.0017114955,0.3
429,954,1246.93,409856,200.0,1601,1859.8642578125,-1.7112809062004088,0.0003,8360.112600708007,0.08074039220809937,0.0010586276999674737,0.0015625,16000,0.0047471263,0.3
429,954,1246.8,410112,200.0,1602,4727.24072265625,-1.5897305071353913,0.0003,7840.730944824219,0.511673629283905,-0.0010363402077928185,0.00078125,16010,0.0021552397,0.3
429,954,1244.82,410368,200.0,1603,4631.8994140625,-1.4465127050876618,0.0003,5121.879119873047,0.46850258111953735,-0.0006960321683436632,0.0,16020,0.002038323,0.3
429,954,1235.06,410624,200.0,1604,910.5407104492188,-1.36160551905632,0.0003,6174.234289550781,0.4048665165901184,-5.331356078386307e-05,0.0,16030,4.9245078e-05,0.3
430,954,1237.91,410880,200.0,1605,1099.482421875,-1.5503077566623689,0.0003,7407.538037109375,0.4986790418624878,-0.00018003401346504687,0.0,16040,0.00046837446,0.3
