time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance
7,19,343.3333333333333,4864,629,200.0,888.9655731201171,0.00014433195,0.0,-2.253293788433075,0.3,-0.0009383083553984762,0.0003,2980,352.7551574707031,0.2835298776626587
8,20,342.8,5120,630,200.0,1844.0632751464843,0.0017558883,0.0,-2.217500650882721,0.3,-0.004233117820695043,0.0003,2990,862.8558959960938,0.2631382942199707
8,21,318.46153846153845,5376,631,200.0,1245.0853607177735,0.0018828148,0.0,-2.1995830655097963,0.3,-0.003197185695171356,0.0003,3000,524.2584838867188,0.33965039253234863
8,22,307.5,5632,633,200.0,1722.153759765625,0.008385878,0.005078125,-2.2145076513290407,0.3,-0.010589974233880639,0.0003,3010,946.640869140625,0.24466997385025024
9,23,316.55172413793105,5888,633,200.0,1062.2780670166017,0.004098993,0.0,-2.2570462584495545,0.3,-0.004501230060122907,0.0003,3020,561.9503784179688,0.49215829372406006
9,24,312.0,6144,636,200.0,2739.744769287109,0.0010777365,0.0,-2.2905204772949217,0.3,-0.0011965088080614806,0.0003,3030,1493.6851806640625,0.1333388090133667
10,25,316.875,6400,638,200.0,1574.3624572753906,0.0001494207,0.0,-2.2934662222862245,0.3,-0.0006530752405524253,0.0003,3040,471.24395751953125,0.15129441022872925
10,26,310.3030303030303,6656,634,200.0,3191.2807739257814,0.00010837591,0.0,-2.306959164142609,0.3,-0.000995687721297145,0.0003,3050,1195.230712890625,0.22461658716201782
10,27,297.3529411764706,6912,634,200.0,1269.8291046142579,0.008149385,0.0,-2.245183324813843,0.3,-0.012971714744344354,0.0003,3060,601.74365234375,0.38466864824295044
11,28,306.85714285714283,7168,629,200.0,2557.5815002441404,0.0057442677,0.0,-2.2345946192741395,0.3,-0.005725389579311013,0.0003,3070,1067.7591552734375,0.18143051862716675
11,29,285.13513513513516,7424,628,200.0,1976.9318908691407,0.0014623802,0.0,-2.1830174207687376,0.3,-0.0038736673537641763,0.0003,3080,1110.9390869140625,0.3688232898712158
12,30,301.8421052631579,7680,629,200.0,1625.0606994628906,0.001307324,0.0,-2.0937633395195006,0.3,-0.0020505864173173904,0.0003,3090,715.7323608398438,0.11860501766204834
12,31,296.6666666666667,7936,632,200.0,2790.0976318359376,0.00023088884,0.0,-2.112802708148956,0.3,-0.0019422702956944705,0.0003,3100,1328.5162353515625,0.4814292788505554
12,32,293.75,8192,634,200.0,1183.5961151123047,0.0003961858,0.0,-2.1705708742141723,0.3,-0.0007478276384063065,0.0003,3110,592.250732421875,0.3627716302871704
13,33,299.76190476190476,8448,635,200.0,2448.431329345703,0.0011529087,0.0,-2.185291826725006,0.3,-0.0025698218727484346,0.0003,3120,1270.3233642578125,0.31068843603134155
13,34,301.3953488372093,8704,637,200.0,2566.19814453125,0.008634219,0.0,-2.210378050804138,0.3,-0.012167460261844098,0.0003,3130,1097.402587890625,0.2545601725578308
14,35,292.04545454545456,8960,639,200.0,1802.9051818847656,0.0077260975,0.0,-2.2356852769851683,0.3,-0.007385089504532516,0.0003,3140,682.8112182617188,0.2747172713279724
