time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
10,-1169.1666666666667,1145,200.0,2,2560,-0.00290117715485394,3456.2114379882814,0.0,0.3,-6.628036499023438e-05,0.0003,0.00034421962,90,-2.5544524788856506,1847.927490234375
11,-1119.2857142857142,1140,200.0,2,2816,-0.005501219793222845,3311.6649169921875,0.0,0.3,4.7087669372558594e-05,0.0003,0.0010475023,100,-2.549992024898529,1569.2344970703125
12,-1103.3333333333333,1134,200.0,2,3072,-0.0048573525622487065,2196.4012451171875,0.0,0.3,-0.00012052059173583984,0.0003,0.0009402225,110,-2.550969731807709,1142.32080078125
13,-1079.375,1130,200.0,2,3328,-0.0026200678199529647,2203.9819458007814,0.0,0.3,-0.0003044605255126953,0.0003,0.0005616166,120,-2.5500935316085815,1127.3778076171875
14,-1082.3529411764705,1128,200.0,3,3584,-0.0013192857382819056,2439.5824951171876,0.0,0.3,-4.7326087951660156e-05,0.0003,0.00020295684,130,-2.5489956855773928,1164.22412109375
15,-1071.0526315789473,1128,200.0,3,3840,-0.003987984941340983,2833.4968505859374,0.0,0.3,-8.463859558105469e-06,0.0003,0.0006157176,140,-2.5474756598472594,1423.9459228515625
16,-1065.5,1124,200.0,3,4096,-0.005373715469613671,2098.0935546875,0.0,0.3,-0.0001043081283569336,0.0003,0.0009004257,150,-2.543141484260559,1045.586669921875
17,-1057.142857142857,1120,200.0,3,4352,-0.0023095174692571163,2976.1700073242187,0.0,0.3,-4.684925079345703e-05,0.0003,0.00051941373,160,-2.537347447872162,1502.6497802734375
18,-1051.7391304347825,1116,200.0,4,4608,-0.005102100712247193,2104.5650268554687,0.0,0.3,-0.00010395050048828125,0.0003,0.0008816817,170,-2.5417753219604493,1035.9488525390625
19,-1050.4166666666667,1111,200.0,4,4864,-0.0027929401490837335,3302.127795410156,0.0,0.3,-2.6106834411621094e-05,0.0003,0.0006223044,180,-2.5407803416252137,1552.5118408203125
20,-1042.0,1109,200.0,4,5120,-0.00465025850571692,2526.2659545898437,0.0,0.3,-0.00010144710540771484,0.0003,0.00079834065,190,-2.536491167545319,1343.39208984375
21,-1027.3076923076924,1109,200.0,4,5376,-0.005286949407309294,2467.2538940429686,0.0,0.3,-7.128715515136719e-05,0.0003,0.0017534024,200,-2.5292174100875853,1199.59716796875
22,-1018.2142857142857,1108,200.0,5,5632,-0.0030689744977280497,2984.9716186523438,0.0,0.3,-4.887580871582031e-05,0.0003,0.00084421295,210,-2.518525993824005,1412.0313720703125
23,-1029.655172413793,1106,200.0,5,5888,-0.005408567446283996,2543.8649291992188,0.0,0.3,-1.0132789611816406e-05,0.0003,0.001019039,220,-2.5198102712631227,1282.552490234375
24,-1023.3333333333334,1104,200.0,5,6144,-0.0025282671209424733,3786.02255859375,0.0,0.3,3.74913215637207e-05,0.0003,0.0005491297,230,-2.518984687328339,1714.3392333984375
25,-1025.625,1100,200.0,5,6400,-0.004394973069429398,2928.83076171875,0.0,0.3,-9.274482727050781e-05,0.0003,0.0007826851,240,-2.5176075220108034,1477.713623046875
26,-1014.2424242424242,1099,200.0,6,6656,-0.0032474725041538475,3129.7832885742187,0.0,0.3,-2.110004425048828e-05,0.0003,0.0010772743,250,-2.51023268699646,1436.556884765625
27,-1009.7058823529412,1097,200.0,6,6912,-0.0107633036095649,1856.4057312011719,0.0,0.3,-3.218650817871094e-05,0.0003,0.0059581473,260,-2.4754493474960326,954.6866455078125
28,-999.1428571428571,1094,200.0,6,7168,-0.01099936212413013,1796.16669921875,0.0,0.3,-7.033348083496094e-06,0.0003,0.006636222,270,-2.4363266706466673,970.044189453125
29,-985.9459459459459,1091,200.0,6,7424,-0.008727459030342288,2230.430291748047,0.0,0.3,-4.5299530029296875e-05,0.0003,0.0051881345,280,-2.4024400234222414,1178.1417236328125
30,-978.6842105263158,1093,200.0,7,7680,-0.012565239239484072,1966.4873962402344,0.02421875,0.3,-2.2530555725097656e-05,0.0003,0.012017388,290,-2.350917339324951,1144.091552734375
31,-967.4358974358975,1091,200.0,7,7936,-0.009350724914111198,795.9160278320312,0.0,0.3,-4.088878631591797e-05,0.0003,0.008916295,300,-2.2522630214691164,409.472412109375
32,-960.75,1091,200.0,7,8192,-0.01007540796417743,738.2619750976562,0.0,0.3,-3.695487976074219e-05,0.0003,0.011041794,310,-2.155221498012543,376.7102355957031
33,-941.9047619047619,1092,200.0,7,8448,-0.013160127261653543,1414.6103515625,0.01640625,0.3,-1.8715858459472656e-05,0.0003,0.0139117,320,-2.0591632604598997,645.6256713867188
34,-931.8604651162791,1090,200.0,7,8704,-0.018825687048956753,1098.3206848144532,0.006640625,0.3,-1.6927719116210938e-05,0.0003,0.020299427,330,-1.9671962201595306,448.5579528808594
35,-926.1363636363636,1089,200.0,8,8960,-0.011765874875709414,1303.173812866211,0.00234375,0.3,1.8537044525146484e-05,0.0003,0.020619988,340,-1.7959107339382172,575.5770874023438
36,-907.3913043478261,1089,200.0,8,9216,-0.012960593961179257,497.8912551879883,0.009765625,0.3,-2.562999725341797e-05,0.0003,0.012907063,350,-1.6930069625377655,257.5792236328125
37,-896.5957446808511,1090,200.0,8,9472,-0.006174261635169387,463.12550354003906,0.001171875,0.3,1.4901161193847656e-05,0.0003,0.009073416,360,-1.7935566425323486,195.3947296142578
