time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
721408,200.0,753,956,1249.12,2818,0.803713321685791,-1.575620275735855,0.3,0.063671875,28170,2375.79208984375,0.0003,-0.005548137240111828,1600.22509765625,0.031289738
721664,200.0,754,956,1244.11,2819,0.7266961336135864,-1.479118412733078,0.3,0.005078125,28180,5225.477273559571,0.0003,-0.0025189191568642856,4610.85009765625,0.0067285043
721920,200.0,754,956,1254.01,2820,0.7777038812637329,-1.3813105881214143,0.3,0.0046875,28190,2686.95094833374,0.0003,-0.0014851013664156198,104.29566955566406,0.0008871069
722176,200.0,754,956,1252.07,2821,0.1925780177116394,-1.4095986187458038,0.3,0.0171875,28200,10685.416088867187,0.0003,6.45017484202981e-05,2116.43505859375,0.008529553
722432,200.0,754,956,1255.44,2822,0.6956199407577515,-1.2197990119457245,0.3,0.00390625,28210,3230.2247680664063,0.0003,-0.0024531156290322543,235.55747985839844,0.002311943
722688,200.0,755,956,1248.28,2823,0.21158289909362793,-1.2324029743671416,0.3,0.006640625,28220,10489.829956054688,0.0003,0.0001365767588140443,6159.48486328125,0.0018973919
722944,200.0,755,956,1254.86,2824,0.29970723390579224,-1.3365352988243102,0.3,0.0,28230,16420.27131347656,0.0003,-0.00035747739020735024,5899.9638671875,0.00011476828
723200,200.0,755,956,1258.89,2825,0.7491464614868164,-1.6188884854316712,0.3,0.014453125,28240,2796.8859283447264,0.0003,-0.0069764033774845306,1684.2396240234375,0.012830213
723456,200.0,756,956,1247.12,2826,-0.0960683822631836,-1.5706776678562164,0.3,0.003515625,28250,12695.892260742188,0.0003,-0.00074966826941818,5791.0556640625,0.003846815
723712,200.0,756,956,1247.98,2827,0.24386066198349,-1.3894973754882813,0.3,0.0,28260,7609.85419921875,0.0003,3.6760931834578516e-06,2578.009521484375,3.7915073e-05
723968,200.0,756,956,1258.28,2828,0.39859509468078613,-1.3499653935432434,0.3,0.0,28270,5651.99296875,0.0003,-0.00011960633564740419,3271.263916015625,1.4316291e-05
724224,200.0,756,956,1262.97,2829,0.028138697147369385,-1.4429880321025848,0.3,0.0,28280,14849.162744140625,0.0003,-0.0007321759592741727,6041.724609375,6.175786e-05
724480,200.0,757,956,1264.78,2830,0.3299317955970764,-1.2914149463176727,0.3,0.0,28290,11668.716983032227,0.0003,-0.0006994516123086214,3971.65380859375,0.0019923095
724736,200.0,757,956,1262.56,2831,0.5427039861679077,-1.3303291857242585,0.3,0.0,28300,4980.100985717773,0.0003,4.929288988932967e-05,436.9334411621094,0.00015040045
724992,200.0,757,956,1266.93,2832,0.5060229301452637,-1.3095679223537444,0.3,0.0,28310,5630.00834350586,0.0003,-0.00047628022730350494,1700.3824462890625,0.0002550739
725248,200.0,757,956,1251.63,2833,0.04560214281082153,-1.4359723925590515,0.3,0.0,28320,12070.429241943359,0.0003,0.0003414261504076421,5781.849609375,0.00030326354
725504,200.0,758,956,1254.66,2834,0.3770480155944824,-1.3915585577487946,0.3,0.0,28330,11275.531860351562,0.0003,-0.0003004478523507714,425.90771484375,1.2131408e-05
725760,200.0,758,956,1247.44,2835,0.7104281187057495,-1.4236629903316498,0.3,0.0,28340,2237.4984565734862,0.0003,-0.0014896790380589664,935.539306640625,0.0020451404
726016,200.0,758,956,1257.27,2836,0.8234635591506958,-1.5112345099449158,0.3,0.023046875,28350,2417.6185775756835,0.0003,-0.004544777353294194,1909.164306640625,0.012282968
726272,200.0,758,956,1269.56,2837,0.2796452045440674,-1.370491909980774,0.3,0.001171875,28360,7114.941625976562,0.0003,-0.003336072282399982,2653.9921875,0.0041977554
726528,200.0,759,956,1268.56,2838,0.7341629862785339,-1.367611962556839,0.3,0.0,28370,2686.339263153076,0.0003,-0.0014880948583595455,663.3021850585938,0.001764901
726784,200.0,759,956,1269.81,2839,0.2623571753501892,-1.4674790680408478,0.3,0.0,28380,8603.89328918457,0.0003,-0.0016994741279631853,363.3555603027344,0.0018760466
727040,200.0,759,956,1270.68,2840,0.7547321319580078,-1.3584783017635345,0.3,0.010546875,28390,2833.727819824219,0.0003,-0.005444794148206711,1260.191162109375,0.010144328
727296,200.0,760,956,1271.95,2841,0.3803393840789795,-1.6070756435394287,0.3,0.025,28400,14647.408129882813,0.0003,-0.005002531502395868,8469.17578125,0.010743581
727552,200.0,760,956,1275.41,2842,0.7723973989486694,-1.4628152132034302,0.3,0.0,28410,2536.563757324219,0.0003,-0.0007388757076114416,1583.4949951171875,0.00066650286
727808,200.0,760,956,1271.77,2843,0.7838538885116577,-1.393791002035141,0.3,0.0,28420,2676.3571807861326,0.0003,-0.004120224132202565,2433.580322265625,0.0026684382
728064,200.0,760,956,1276.43,2844,0.4886767864227295,-1.3337763369083404,0.3,0.0,28430,11170.124865722657,0.0003,-0.00040836082771420477,7557.06103515625,0.00078405277
728320,200.0,761,956,1285.78,2845,0.15908068418502808,-1.3741855680942536,0.3,0.0,28440,1705.948793029785,0.0003,-0.002482285350561142,182.66761779785156,0.0017139066
728576,200.0,761,956,1287.85,2846,0.39455145597457886,-1.3694424748420715,0.3,0.0,28450,15553.188549804687,0.0003,-0.0007537794532254338,11539.60546875,0.0011775969
728832,200.0,761,956,1286.39,2847,0.3270971179008484,-1.23225998878479,0.3,0.009375,28460,7568.540991210937,0.0003,-0.0011491638608276844,5407.19482421875,0.006695641
729088,200.0,761,956,1282.04,2848,0.7846406698226929,-1.2710863590240478,0.3,0.00703125,28470,4504.652648162842,0.0003,-0.00226575150154531,4044.81298828125,0.0059467764
729344,200.0,762,956,1281.8,2849,0.5698291063308716,-1.6632903456687926,0.3,0.0,28480,4828.242376708984,0.0003,-0.0015319795347750187,2675.973876953125,0.002143593
729600,200.0,762,956,1281.22,2850,0.15507066249847412,-1.4872096002101898,0.3,0.0,28490,13047.027758789063,0.0003,-0.0014785845880396665,4404.67529296875,0.00023035356
729856,200.0,762,956,1284.22,2851,0.6794343590736389,-1.5201657712459564,0.3,0.0,28500,3585.236785888672,0.0003,-0.001022420241497457,2307.604736328125,0.0010056233
730112,200.0,763,956,1287.21,2852,0.33774328231811523,-1.4080637037754058,0.3,0.0,28510,13527.863159179688,0.0003,-0.0006021096807671711,5253.6513671875,0.0014305855
730368,200.0,763,956,1281.74,2853,0.674164891242981,-1.4406878292560577,0.3,0.0,28520,4213.902154541016,0.0003,-0.0016057279688538983,1459.036865234375,0.00041228742
730624,200.0,763,956,1266.97,2854,0.79939204454422,-1.6124435842037201,0.3,0.155859375,28530,2223.8655120849608,0.0003,-0.006056593498215079,2186.89111328125,0.04713976
730880,200.0,763,956,1272.13,2855,0.02230381965637207,-0.882680869102478,0.3,0.007421875,28540,21125.2728515625,0.0003,0.003615533094853163,3170.006591796875,0.005007581
731136,200.0,764,956,1267.12,2856,-0.14565062522888184,-1.1853792726993562,0.3,0.0,28550,11863.134545898438,0.0003,-7.92714417912066e-05,9078.4482421875,8.9068664e-05
731392,200.0,764,956,1259.25,2857,0.35648292303085327,-1.3330405533313752,0.3,0.0,28560,4880.303857421875,0.0003,-0.00016149410512298346,2225.06884765625,2.9865652e-05
731648,200.0,764,956,1266.13,2858,0.2806214690208435,-1.4066122472286224,0.3,0.0,28570,9038.4107421875,0.0003,-0.00036781925009563563,690.9287109375,5.0347997e-05
731904,200.0,764,956,1250.94,2859,-0.17402362823486328,-1.6484103858470918,0.3,0.0,28580,33339.71044921875,0.0003,-0.0011903285514563323,15738.08203125,0.00020090886
732160,200.0,765,956,1246.53,2860,0.22886234521865845,-1.45524782538414,0.3,0.0,28590,10274.145727539062,0.0003,-0.0003960430156439543,3172.215576171875,0.00014663348
732416,200.0,765,956,1250.07,2861,0.0312766432762146,-1.3378617882728576,0.3,0.0,28600,9383.280401611328,0.0003,-8.596322732046247e-05,2093.482177734375,2.4714973e-05
732672,200.0,765,956,1250.07,2862,0.2377614974975586,-1.4316426873207093,0.3,0.0,28610,10125.30673828125,0.0003,-0.0006348805618472397,3022.4521484375,6.2638195e-05
732928,200.0,766,956,1261.25,2863,0.16921627521514893,-1.5374050319194794,0.3,0.0,28620,25528.391845703125,0.0003,-0.0020642454735934736,14277.6240234375,0.00042091077
733184,200.0,766,956,1263.33,2864,0.3666068911552429,-1.4712936401367187,0.3,0.0,28630,8271.366674804687,0.0003,-0.00161639042198658,1779.52490234375,0.00030122465
733440,200.0,766,956,1268.28,2865,0.540727972984314,-1.5126813232898713,0.3,0.0,28640,4282.950476074218,0.0003,-0.00021587715018540622,783.2628173828125,4.9356837e-05
733696,200.0,766,956,1274.56,2866,0.2980737090110779,-1.5722470819950103,0.3,0.0,28650,17050.017163085937,0.0003,-0.0009559183614328504,7056.34228515625,6.934418e-05
733952,200.0,767,956,1269.21,2867,0.24371075630187988,-1.431284737586975,0.3,0.0,28660,8629.738464355469,0.0003,-0.0005929799401201308,2976.33642578125,8.640066e-05
734208,200.0,767,956,1264.51,2868,0.7758693099021912,-1.5645833492279053,0.3,0.000390625,28670,2507.2102684020997,0.0003,-0.002547369198873639,743.685546875,0.0038594913
734464,200.0,767,956,1270.91,2869,0.7694448232650757,-1.4021343648433686,0.3,0.001953125,28680,4455.072454833984,0.0003,-0.0027702256105840207,755.9186401367188,0.0045886897
