time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
5,6400,25,200.0,-212.8125,1083,197.1453857421875,-0.009052926674485207,0.03496086597442627,0.0003,463.89441375732423,-2.3544660329818727,0.004296875,640,0.3,0.00963066
6,6656,26,200.0,-214.84848484848484,1078,510.357421875,-0.006392676569521427,-0.04171264171600342,0.0003,897.0661560058594,-2.231559634208679,0.0,650,0.3,0.006927616
6,6912,27,200.0,-215.88235294117646,1077,145.01356506347656,-0.014141412032768131,0.09559094905853271,0.0003,188.45466384887695,-2.137201416492462,0.000390625,660,0.3,0.018151455
6,7168,28,200.0,-218.57142857142858,1079,81.93050384521484,-0.0032947919797152283,0.04467195272445679,0.0003,115.90233745574952,-1.989039820432663,0.0,670,0.3,0.005221998
6,7424,29,200.0,-217.2972972972973,1080,48.1268310546875,-0.006731454422697425,0.07104814052581787,0.0003,138.88374443054198,-2.009501713514328,0.00078125,680,0.3,0.0076824045
7,7680,30,200.0,-219.47368421052633,1081,174.5078887939453,-0.0005584136815741658,0.053437650203704834,0.0003,554.4176773071289,-2.060180735588074,0.0,690,0.3,0.003042009
7,7936,31,200.0,-221.02564102564102,1083,31.857797622680664,-0.005949123739264905,-0.07742559909820557,0.0003,111.32802925109863,-2.1291984796524046,0.0,700,0.3,0.0047580414
7,8192,32,200.0,-216.75,1081,6.768303871154785,-0.004688414314296096,0.20693451166152954,0.0003,72.31883435249328,-2.1702972292900085,0.017578125,710,0.3,0.011721217
7,8448,33,200.0,-216.66666666666666,1083,229.91946411132812,0.0009598028613254428,-0.02876877784729004,0.0003,887.6937240600586,-2.285169219970703,0.0,720,0.3,0.0008668974
8,8704,34,200.0,-220.0,1082,111.83262634277344,-0.004055150575004518,0.0823671817779541,0.0003,189.83938293457032,-2.236191213130951,0.0,730,0.3,0.002750723
8,8960,35,200.0,-221.36363636363637,1080,77.07440948486328,-0.004135311930440366,-0.0671379566192627,0.0003,188.71388511657716,-2.2893588185310363,0.0,740,0.3,0.0040097423
8,9216,36,200.0,-224.56521739130434,1075,18.196117401123047,-0.010468649619724602,-0.07723009586334229,0.0003,100.21940517425537,-2.3055192947387697,0.028125,750,0.3,0.015446426
8,9472,37,200.0,-229.14893617021278,1077,85.17887878417969,-0.019329028343781827,-0.03520703315734863,0.0003,126.62677335739136,-2.3970680236816406,0.09765625,760,0.3,0.036326945
9,9728,38,200.0,-230.41666666666666,1077,59.758148193359375,-0.028016348904930054,-0.0006806850433349609,0.0003,151.6074146270752,-2.413318622112274,0.108203125,770,0.3,0.04019183
9,9984,39,200.0,-227.14285714285714,1074,54.86976623535156,-0.012484177551232278,0.0005838871002197266,0.0003,127.22963409423828,-2.329339933395386,0.03515625,780,0.3,0.018488992
9,10240,40,200.0,-222.15686274509804,1073,84.9089584350586,-0.006264711753465236,0.0005370378494262695,0.0003,456.9131370544434,-2.324634039402008,0.017578125,790,0.3,0.008313242
0,256,1,200.0,-230.0,1418,466.2138366699219,-0.007952061481773853,0.0031676292419433594,0.0003,549.3068489074707,-2.4203594446182253,0.002734375,800,0.3,0.0048371917
0,512,2,200.0,0.0,1240,101.83750915527344,0.0007509796647354961,-0.1865251064300537,0.0003,209.32411918640136,-2.1131410598754883,0.0,410,0.3,0.0011349749
0,768,3,200.0,-83.33333333333333,1186,581.59716796875,-0.0035168841946870088,0.050533175468444824,0.0003,848.7383224487305,-2.0391277551651,0.0,420,0.3,0.001294706
0,1024,4,200.0,-90.0,1183,87.53746795654297,-0.009409685200080276,0.03121793270111084,0.0003,436.7149356842041,-2.1013568162918093,0.0,430,0.3,0.008229179
