rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-1825.0,1088,5,1,1280,200.0,0.0,0.0007113218307495117,0.3,1963.390380859375,-0.001803330658003688,40,0.0001947917,4157.548681640625,0.0003,-2.561555802822113
-1865.7142857142858,1086,6,1,1536,200.0,0.0,-0.0005218982696533203,0.3,1925.898681640625,-0.0029006053460761904,50,0.00037911697,3621.461865234375,0.0003,-2.5606491923332215
-1858.75,1083,7,1,1792,200.0,0.0,0.0002079606056213379,0.3,2670.73291015625,-0.005642203451134265,60,0.00059491815,4942.724536132812,0.0003,-2.5586457014083863
-1881.0,1076,8,1,2048,200.0,0.0,0.0003171563148498535,0.3,2416.25439453125,-0.0039069909369573,70,0.00041906582,4814.242651367187,0.0003,-2.556302344799042
-1892.7272727272727,1076,9,2,2304,200.0,0.0,3.4570693969726562e-06,0.3,1715.505615234375,-0.0061331373173743485,80,0.00088173454,3168.490478515625,0.0003,-2.5526715874671937
-1869.1666666666667,1072,10,2,2560,200.0,0.0,-0.0001666545867919922,0.3,2292.7255859375,-0.002724561095237732,90,0.00053013023,4144.47431640625,0.0003,-2.548409712314606
-1825.0,1071,11,2,2816,200.0,0.0,-6.437301635742188e-05,0.3,1643.890869140625,-0.004946301761083305,100,0.0007859529,3559.9818115234375,0.0003,-2.5404369711875914
-1832.6666666666667,1069,12,2,3072,200.0,0.0,-0.00020873546600341797,0.3,1334.413330078125,-0.004865770973265171,110,0.0011781605,2497.0661682128907,0.0003,-2.5326738119125367
-1836.875,1068,13,3,3328,200.0,0.0,-0.00010514259338378906,0.3,2049.973388671875,-0.003463556617498398,120,0.0007621518,4129.534851074219,0.0003,-2.522848868370056
-1832.3529411764705,1070,14,3,3584,200.0,0.0,-4.601478576660156e-05,0.3,1759.4305419921875,-0.006508568930439651,130,0.0014665446,3549.0669067382814,0.0003,-2.5085983991622927
-1774.2105263157894,1070,15,3,3840,200.0,0.0,-4.649162292480469e-05,0.3,775.0048828125,-0.009394000377506017,140,0.0028986859,1731.8066467285157,0.0003,-2.4962199091911317
-1751.0,1070,16,3,4096,200.0,0.0,-0.00018477439880371094,0.3,1017.2402954101562,-0.004754362511448562,150,0.0016965896,2214.465124511719,0.0003,-2.498748016357422
-1744.2857142857142,1067,17,4,4352,200.0,0.0,-9.238719940185547e-05,0.3,1229.6553955078125,-0.004014088166877627,160,0.0016916881,2955.9942138671877,0.0003,-2.485650050640106
-1723.9130434782608,1068,18,4,4608,200.0,0.0,-0.0001016855239868164,0.3,1079.83447265625,-0.005369408684782684,170,0.0017944488,2104.6926147460936,0.0003,-2.4849655508995054
-1706.25,1067,19,4,4864,200.0,0.0,-9.655952453613281e-06,0.3,1359.398193359375,-0.010097921174019576,180,0.0030794672,2976.8745361328124,0.0003,-2.458587372303009
-1677.6,1068,20,4,5120,200.0,0.0,-7.522106170654297e-05,0.3,904.95068359375,-0.012192854704335333,190,0.006009821,1980.3285034179687,0.0003,-2.432102394104004
-1661.5384615384614,1069,21,5,5376,200.0,0.0,-3.1828880310058594e-05,0.3,852.9127807617188,-0.007809562468901276,200,0.0075855926,1910.1845092773438,0.0003,-2.3830984234809875
-1630.7142857142858,1068,22,5,5632,200.0,0.0,-5.054473876953125e-05,0.3,1134.1055908203125,-0.011305392580106854,210,0.007132409,2255.7991455078127,0.0003,-2.316995108127594
-1623.103448275862,1068,23,5,5888,200.0,0.03203125,-1.621246337890625e-05,0.3,652.0880126953125,-0.019810650520958005,220,0.021299617,1375.8833068847657,0.0003,-2.219414746761322
-1600.0,1067,24,5,6144,200.0,0.0,-4.76837158203125e-06,0.3,660.861083984375,-0.011409191554412246,230,0.011849169,1559.74501953125,0.0003,-2.0809481859207155
-1572.1875,1068,25,5,6400,200.0,0.1296875,-7.712841033935547e-05,0.3,377.56695556640625,-0.02641978582832962,240,0.03960435,677.6741439819336,0.0003,-1.892449563741684
-1551.5151515151515,1068,26,6,6656,200.0,0.007421875,-2.5987625122070312e-05,0.3,674.7742309570312,-0.01792469620704651,250,0.012026958,1482.1709350585938,0.0003,-1.7051332652568818
-1530.5882352941176,1068,27,6,6912,200.0,0.071484375,-3.445148468017578e-05,0.3,433.1285705566406,-0.034982194378972056,260,0.040611006,756.4892150878907,0.0003,-1.445036232471466
-1506.2857142857142,1069,28,6,7168,200.0,0.04296875,-2.2649765014648438e-06,0.3,154.1325225830078,-0.018587393802590668,270,0.037804067,305.5369934082031,0.0003,-1.1582097172737122
-1445.945945945946,1070,29,6,7424,200.0,0.1171875,-1.0848045349121094e-05,0.3,239.03041076660156,-0.015162661601789296,280,0.011990673,591.33232421875,0.0003,-1.0900166571140288
-1420.7894736842106,1070,30,7,7680,200.0,0.016796875,2.378225326538086e-05,0.3,49.82851028442383,-0.010136695625260473,290,0.008487104,88.83366203308105,0.0003,-0.9810254812240601
-1395.128205128205,1072,31,7,7936,200.0,0.021484375,-0.00013935565948486328,0.3,51.30240249633789,-0.013042057165876031,300,0.015203293,88.89170455932617,0.0003,-0.7955619066953659
-1374.75,1072,32,7,8192,200.0,0.000390625,-5.3882598876953125e-05,0.3,101.50064086914062,-0.004158725985325873,310,0.0015674178,155.91018714904786,0.0003,-0.6926536053419113
-1329.2857142857142,1072,33,7,8448,200.0,0.024609375,1.704692840576172e-05,0.3,34.20186996459961,-0.009991189395077527,320,0.014369782,87.09612731933593,0.0003,-0.602533358335495
-1310.2325581395348,1071,34,8,8704,200.0,0.073828125,1.5854835510253906e-05,0.3,17.02156639099121,-0.013452148274518549,330,0.011199838,60.13953847885132,0.0003,-0.6144989222288132
-1291.1363636363637,1070,35,8,8960,200.0,0.00859375,8.344650268554688e-07,0.3,98.46257781982422,-0.004918084177188575,340,0.0027100889,169.4681011199951,0.0003,-0.6401677876710892
-1255.2173913043478,1071,36,8,9216,200.0,0.0015625,0.00018554925918579102,0.3,20.32267951965332,-0.010542342904955149,350,0.0022754457,45.399021530151366,0.0003,-0.6305120140314102
