time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
0,256,200.0,1,952,670.0,-2.288910961151123,400,0.0,0.3,9093.088804626464,-0.009285211563110352,0.0003,0.0012972518,6113.4658203125,-0.0016206963686272503
0,512,200.0,2,824,755.0,-2.303475499153137,410,0.0,0.3,17896.52587890625,0.01748889684677124,0.0003,0.0006444629,9546.384765625,-0.0013494969345629216
0,768,200.0,3,805,763.3333333333334,-2.310368776321411,420,0.0,0.3,9336.852099609376,-0.010791659355163574,0.0003,0.0002761546,7327.6552734375,-0.0013605863554403187
1,1024,200.0,4,801,656.0,-2.3196235418319704,430,0.0,0.3,9131.070935058593,0.03208130598068237,0.0003,0.0020368653,2134.150390625,-0.005859247571788728
1,1280,200.0,5,779,678.3333333333334,-2.2980700492858888,440,0.0,0.3,17433.64157714844,0.03541076183319092,0.0003,0.0023432472,7669.578125,-0.0012901178561151028
1,1536,200.0,6,780,660.0,-2.2297042489051817,450,0.0,0.3,9139.172808837891,0.01877659559249878,0.0003,0.0013687306,1336.548828125,-0.0034871504874899985
2,1792,200.0,7,780,637.5,-2.2645029783248902,460,0.0109375,0.3,8833.072158813477,0.042910099029541016,0.0003,0.007408509,1355.5601806640625,-0.008354742359369994
2,2048,200.0,8,783,620.0,-2.3525254368782043,470,0.0,0.3,8894.315490722656,0.029983162879943848,0.0003,0.0018291206,1522.8060302734375,-0.0004164855694398284
2,2304,200.0,9,788,604.5454545454545,-2.3756702065467836,480,0.0,0.3,17470.11767578125,0.046402156352996826,0.0003,0.00075959857,9075.505859375,-0.0025161456782370807
3,2560,200.0,10,790,606.6666666666666,-2.385166954994202,490,0.001171875,0.3,8660.877972412109,0.05956244468688965,0.0003,0.0032963639,4565.87353515625,-0.005715948645956814
3,2816,200.0,11,794,596.4285714285714,-2.4443749666213987,500,0.0,0.3,8749.951712036132,0.05872547626495361,0.0003,0.002038672,497.36895751953125,-0.0020740308333188294
3,3072,200.0,12,801,592.6666666666666,-2.4525484323501585,510,0.0,0.3,8697.289093017578,0.06234312057495117,0.0003,0.001204707,1211.2667236328125,-0.0029758780729025602
4,3328,200.0,13,802,603.75,-2.3960402965545655,520,0.0,0.3,17980.754663085936,0.02115529775619507,0.0003,0.0071502714,10415.7216796875,-0.008653231663629413
4,3584,200.0,14,804,594.7058823529412,-2.3002283930778504,530,0.0,0.3,9063.347607421874,0.0360792875289917,0.0003,0.0034688425,1623.77978515625,-0.004205053206533194
4,3840,200.0,15,805,588.9473684210526,-2.296812379360199,540,0.0,0.3,9004.280032348634,0.030672132968902588,0.0003,0.0007637525,4075.065673828125,-0.0015566320857033134
5,4096,200.0,16,802,589.5,-2.3103112459182737,550,0.0,0.3,8433.526672363281,0.06001746654510498,0.0003,0.001991061,1934.5091552734375,-0.004175639804452657
5,4352,200.0,17,804,588.5714285714286,-2.2441024780273438,560,0.0,0.3,17779.715673828126,0.028837919235229492,0.0003,0.0031251388,5600.87353515625,-0.005234755622223019
5,4608,200.0,18,807,601.7391304347826,-2.241400492191315,570,0.0,0.3,8894.388452148438,0.028172314167022705,0.0003,0.00076958723,7627.9560546875,-7.217749953269958e-07
5,4864,200.0,19,811,593.75,-2.2152667164802553,580,0.0,0.3,8729.012545776368,0.07725250720977783,0.0003,0.0014163125,4379.84228515625,-0.003189042187295854
6,5120,200.0,20,812,596.0,-2.1527560710906983,590,0.0,0.3,16478.34619140625,0.049927592277526855,0.0003,0.002214424,7166.015625,-0.0026030228938907383
6,5376,200.0,21,812,593.8461538461538,-2.1084022521972656,600,0.0,0.3,8554.760989379884,0.06498295068740845,0.0003,0.0031223963,3320.469970703125,-0.004929118393920362
6,5632,200.0,22,811,595.0,-2.1762374520301817,610,0.0,0.3,8646.205633544922,0.06864660978317261,0.0003,0.006240581,4256.37451171875,-0.0027524933218955995
7,5888,200.0,23,808,600.6896551724138,-2.223720061779022,620,0.0,0.3,17067.79013671875,0.0750129222869873,0.0003,0.00057253125,7975.5048828125,-0.00111546425614506
7,6144,200.0,24,807,600.6666666666666,-2.174326717853546,630,0.0,0.3,9016.457090759277,0.0529446005821228,0.0003,0.003932885,4937.02099609375,-0.005950122536160052
7,6400,200.0,25,805,602.8125,-2.217855083942413,640,0.0,0.3,8587.273529052734,0.08035528659820557,0.0003,0.0036120473,6317.3505859375,-0.0013651714893057943
8,6656,200.0,26,803,601.8181818181819,-2.2294322848320007,650,0.0,0.3,9036.172387695313,0.06010866165161133,0.0003,0.0020495427,671.0711669921875,-0.0036709683714434504
8,6912,200.0,27,799,603.8235294117648,-2.2623627305030825,660,0.0,0.3,17379.751733398436,0.06284427642822266,0.0003,0.00076057506,11469.861328125,-0.0020551364403218033
8,7168,200.0,28,798,610.5714285714286,-2.2889313459396363,670,0.0,0.3,8990.28442993164,0.0441126823425293,0.0003,0.0005068898,3694.004150390625,-0.0014266837388277054
9,7424,200.0,29,799,604.5945945945946,-2.2332428336143493,680,0.0,0.3,8855.803649902344,0.03173917531967163,0.0003,0.001193559,4064.23046875,-0.0030105884769000115
9,7680,200.0,30,799,602.6315789473684,-2.227075529098511,690,0.0,0.3,16980.17092285156,0.06949633359909058,0.0003,0.001045224,14008.22265625,-0.0021683953586034478
9,7936,200.0,31,796,601.5384615384615,-2.235653841495514,700,0.0,0.3,8546.60576171875,0.07932746410369873,0.0003,0.0012691107,3895.41455078125,-0.0029745361767709254
10,8192,200.0,32,798,599.5,-2.2430219888687133,710,0.0,0.3,8636.721472167968,0.06757724285125732,0.0003,0.0005633626,7987.32080078125,2.3423880338668824e-05
10,8448,200.0,33,799,597.3809523809524,-2.2519197821617127,720,0.0,0.3,8579.61227722168,0.06787800788879395,0.0003,0.0049617947,6923.3515625,-0.004990254971198737
