time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
641,549.25,8192,4,200.0,12,0.0003,2338.707275390625,0.5133386850357056,-1.6311595030128956,-0.006602852397190872,4332.408503341675,0.0287109375,480,0.2,0.0055567096
630,574.1176470588235,10240,5,200.0,16,0.0003,1008.3177490234375,0.527063250541687,-1.6768968883901834,-0.00619526854789001,4322.3691703796385,0.0158203125,490,0.2,0.005272068
924,830.0,2048,1,200.0,2,0.0003,2111.260498046875,0.10084861516952515,-1.6146211612969636,-0.009085529824369587,5576.841176605225,0.05859375,500,0.2,0.009599555
673,751.0,4096,2,200.0,6,0.0003,2815.576171875,0.47814154624938965,-1.90187749825418,-0.008349733617797029,5895.457721710205,0.04716796875,510,0.2,0.0100186635
617,797.3333333333334,6144,3,200.0,9,0.0003,2696.493896484375,0.2491665482521057,-1.8546543519943952,-0.005608249546639854,6100.1319801330565,0.0326171875,520,0.2,0.007428216
589,712.0,8192,4,200.0,13,0.0003,1652.5697021484375,0.3540778160095215,-1.8222649667412043,-0.00456369157473091,6096.724530792237,0.0140625,530,0.2,0.005389724
577,734.5098039215686,10240,5,200.0,17,0.0003,2607.3359375,0.17528676986694336,-1.8461530767381191,-0.004675281145318877,5625.098297119141,0.01572265625,540,0.2,0.0065228026
828,815.0,2048,1,200.0,2,0.0003,2906.020263671875,0.4465552568435669,-1.852193869650364,-0.00598373868415365,6120.105679321289,0.022900390625,550,0.2,0.0042360863
631,814.5,4096,2,200.0,6,0.0003,3637.135009765625,0.3813687562942505,-1.5297014720737934,-0.006527642796572764,5858.762322998047,0.02802734375,510,0.2,0.006183965
597,848.3333333333334,6144,3,200.0,10,0.0003,2891.941162109375,0.4227837324142456,-1.4581381928175687,-0.0118745870233397,6617.434122467041,0.122119140625,520,0.2,0.011276732
577,875.5,8192,4,200.0,14,0.0003,3955.71923828125,0.33546388149261475,-1.3857884723693132,-0.006128282798817964,8189.825948333741,0.0447265625,530,0.2,0.0064106863
568,836.0784313725491,10240,5,200.0,17,0.0003,4651.8095703125,0.4217991232872009,-1.373553727194667,-0.007860919519589515,6360.125896453857,0.060888671875,540,0.2,0.0080172615
833,921.0,2048,1,200.0,2,0.0003,1524.145751953125,0.4202018976211548,-1.3676240716129542,-0.006275664862187114,5184.699948883057,0.043896484375,550,0.2,0.0056100436
640,966.0,4096,2,200.0,6,0.0003,3985.55908203125,0.2842494249343872,-1.8802556820213794,-0.006672323527163826,7094.345133972168,0.0298828125,560,0.2,0.010365014
606,947.3333333333334,6144,3,200.0,10,0.0003,3957.37939453125,0.24788731336593628,-1.8231356039643287,-0.007846408979094121,6384.220576477051,0.04521484375,570,0.2,0.011786591
583,912.0,8192,4,200.0,14,0.0003,4006.82373046875,0.12967050075531006,-1.8032705139368772,-0.00677198720004526,7839.139813232422,0.03603515625,580,0.2,0.011318913
570,935.4901960784314,10240,5,200.0,17,0.0003,3055.948974609375,0.26399242877960205,-1.7945227272808553,-0.007028130289108958,7537.484048461914,0.020458984375,590,0.2,0.0053732074
827,913.0,2048,1,200.0,2,0.0003,3181.266845703125,0.3105388283729553,-1.8695674940943718,-0.006516635206935462,6975.734511566162,0.055517578125,600,0.2,0.008192578
631,1069.5,4096,2,200.0,6,0.0003,3481.393310546875,0.3869103193283081,-1.251816077902913,-0.006351313667255454,7721.280499267578,0.03193359375,560,0.2,0.0046856315
605,1140.0,6144,3,200.0,10,0.0003,6842.6259765625,0.2984023094177246,-1.2251327317208052,-0.004748971758817788,9601.387117004395,0.05029296875,570,0.2,0.0070934957
588,1102.5,8192,4,200.0,13,0.0003,4190.51171875,0.3437201976776123,-1.2192773383110762,-0.0038154803405632265,11019.867942810059,0.02744140625,580,0.2,0.0038769834
579,1118.6274509803923,10240,5,200.0,17,0.0003,3654.18798828125,0.3464905023574829,-1.325759394839406,-0.004354449741367716,9080.605290222167,0.020263671875,590,0.2,0.003468554
853,1059.0,2048,1,200.0,2,0.0003,5557.42529296875,0.20603233575820923,-1.2229541160166264,-0.007702893533860333,10648.267477416992,0.05703125,600,0.2,0.0072593577
667,1183.0,4096,2,200.0,6,0.0003,3055.973876953125,0.408019483089447,-1.9381010845303535,-0.01102241281332681,8444.889254760743,0.080810546875,610,0.2,0.010811567
617,1143.0,6144,3,200.0,9,0.0003,4939.88134765625,0.35181885957717896,-1.977334661781788,-0.008437813143245876,10939.118609619141,0.052978515625,620,0.2,0.010160421
596,1126.5,8192,4,200.0,13,0.0003,3392.599365234375,0.35814303159713745,-1.9397778548300266,-0.007521221198840067,9110.851583862304,0.034130859375,630,0.2,0.005196928
584,1130.0,10240,5,200.0,17,0.0003,2959.005615234375,0.29472655057907104,-1.9390863131731748,-0.006617244629887864,8514.251327514648,0.0322265625,640,0.2,0.0067100655
857,1281.0,2048,1,200.0,2,0.0003,3104.6591796875,0.30665868520736694,-1.9680912762880325,-0.006970968485984485,9423.508041381836,0.046923828125,650,0.2,0.0073770666
678,1288.5,4096,2,200.0,6,0.0003,4910.06689453125,0.32899200916290283,-1.2259953789412976,-0.006097282783593982,11132.608522033692,0.0404296875,610,0.2,0.0042196563
632,1323.0,6144,3,200.0,9,0.0003,4055.712890625,0.20350557565689087,-1.2311857350170612,-0.006254138240910834,11018.303601074218,0.0619140625,620,0.2,0.0075045647
607,1333.25,8192,4,200.0,13,0.0003,8038.60791015625,0.28691279888153076,-1.2275522280484439,-0.004253174512996338,14210.625653076171,0.025927734375,630,0.2,0.0035737224
595,1345.4901960784314,10240,5,200.0,17,0.0003,7206.87548828125,0.11813992261886597,-1.2123273245990276,-0.0039409767516190184,14268.559635925292,0.024462890625,640,0.2,0.004956927
871,1225.0,2048,1,200.0,2,0.0003,8022.91796875,0.07924747467041016,-1.1695582944899798,-0.004753283895843197,13936.475082397461,0.0251953125,650,0.2,0.005363896
680,1374.0,4096,2,200.0,6,0.0003,5447.41943359375,0.2749360203742981,-1.9409820411354304,-0.009638000212726183,10633.352572631837,0.03173828125,660,0.2,0.0070430837
631,1320.6666666666667,6144,3,200.0,9,0.0003,6462.8173828125,0.21854650974273682,-1.9396614413708448,-0.00582669839495793,13584.99669342041,0.020703125,670,0.2,0.006298586
605,1366.75,8192,4,200.0,13,0.0003,5700.42578125,0.42838120460510254,-1.9287376210093499,-0.007636875519528985,10450.229383850097,0.0458984375,680,0.2,0.006542799
581,1409.0196078431372,10240,5,200.0,17,0.0003,7057.6015625,0.19957959651947021,-1.9280355591326952,-0.008717548091954085,13588.911238098144,0.034814453125,690,0.2,0.008853749
813,1330.0,2048,1,200.0,2,0.0003,7405.548828125,0.13899904489517212,-1.920758718624711,-0.010436944602406583,14582.809510803223,0.034130859375,700,0.2,0.008696277
639,1510.5,4096,2,200.0,6,0.0003,6799.69091796875,0.17780357599258423,-1.2148792896419764,-0.0041402048242161985,14323.64924621582,0.017041015625,660,0.2,0.0035063284
589,1579.3333333333333,6144,3,200.0,10,0.0003,8658.2578125,0.04583853483200073,-1.126753019541502,-0.00911750045925146,17138.13840637207,0.076025390625,670,0.2,0.006412442
573,1603.0,8192,4,200.0,14,0.0003,9677.849609375,0.07808941602706909,-1.1069391908124089,-0.005082532941014506,16671.783435058594,0.024658203125,680,0.2,0.00474251
554,1670.0,10240,5,200.0,18,0.0003,6805.1494140625,0.22111272811889648,-1.0789693020284177,-0.0046294376254081724,16003.056546020507,0.06005859375,690,0.2,0.0044522905
829,1731.0,2048,1,200.0,2,0.0003,8598.638671875,0.08165156841278076,-1.106681503355503,-0.006938986542081693,19021.578979492188,0.041259765625,700,0.2,0.0045256056
670,1755.5,4096,2,200.0,6,0.0003,5703.19287109375,0.03867059946060181,-1.938722637668252,-0.012167689907073509,16167.247958374024,0.091259765625,710,0.2,0.01044822
628,1711.3333333333333,6144,3,200.0,9,0.0003,6850.140625,0.10627847909927368,-1.9364130038768053,-0.0071815560128015935,16937.87406616211,0.052294921875,720,0.2,0.009044606
605,1710.0,8192,4,200.0,13,0.0003,10130.7197265625,0.1380460262298584,-1.947451139986515,-0.00893431731092278,17201.922415161134,0.06171875,730,0.2,0.007745543
598,1725.686274509804,10240,5,200.0,17,0.0003,7418.93896484375,0.2847561836242676,-1.9105068020522595,-0.009111431572819129,18454.738830566406,0.03857421875,740,0.2,0.0068906466
851,1986.0,2048,1,200.0,2,0.0003,9640.0673828125,0.11103349924087524,-1.9119335178285837,-0.007713813058217056,18092.98780517578,0.034375,750,0.2,0.0069614104
661,1837.0,4096,2,200.0,6,0.0003,10597.1875,0.08949273824691772,-1.0882751302793623,-0.00675212710921187,20947.77494506836,0.05302734375,710,0.2,0.0046935705
613,1828.0,6144,3,200.0,10,0.0003,8727.4189453125,0.232713520526886,-1.0448370445519686,-0.008328019778127782,16867.710891723633,0.05869140625,720,0.2,0.006988705
582,1835.25,8192,4,200.0,14,0.0003,7168.677734375,0.3184415102005005,-1.0365308865904808,-0.00727643221616745,16289.535494995118,0.04619140625,730,0.2,0.0070311883
574,1856.2745098039215,10240,5,200.0,17,0.0003,9203.583984375,0.2967706322669983,-0.995920755714178,-0.003976573086401913,18876.543545532226,0.014990234375,740,0.2,0.0026176497
849,1845.0,2048,1,200.0,2,0.0003,8143.88232421875,0.47697746753692627,-1.0229642387479543,-0.005532597497222014,18653.99477233887,0.0515625,750,0.2,0.005194138
669,1928.0,4096,2,200.0,6,0.0003,7660.77783203125,0.3996679186820984,-1.9032958395779134,-0.008545498836610932,16903.335842895507,0.044482421875,760,0.2,0.008926241
623,1872.3333333333333,6144,3,200.0,9,0.0003,7436.42919921875,0.1712571382522583,-1.8423083033412695,-0.010344783986511175,19373.96577758789,0.04794921875,770,0.2,0.006903047
