time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate
615,-519.5652173913044,7,18,4608,200.0,0.002550899,-0.0040189826395362616,29.699077606201172,0.5168352127075195,101.49735565185547,-1.1730556428432464,0.3,0.0,18170,0.0003
616,-514.5833333333334,7,19,4864,200.0,0.00024484238,-0.0003909151302650571,137.66676330566406,0.2686358094215393,243.33095779418946,-1.1495086550712585,0.3,0.0,18180,0.0003
617,-518.0,8,20,5120,200.0,0.016629957,-0.012689338810741902,9.108407974243164,-0.006471037864685059,26.162315130233765,-1.2061141848564148,0.3,0.04765625,18190,0.0003
617,-517.3076923076923,8,21,5376,200.0,0.0026044217,0.0009675131645053625,103.59318542480469,0.49530839920043945,226.50201034545898,-1.256079775094986,0.3,0.0,18200,0.0003
618,-521.4285714285714,9,22,5632,200.0,0.00028372253,-0.001520386803895235,93.98782348632812,0.617082953453064,163.07613067626954,-1.2523244738578796,0.3,0.0,18210,0.0003
619,-520.6896551724138,9,23,5888,200.0,0.0016019014,-0.005982361594215035,108.91778564453125,0.4624999761581421,216.96278533935546,-1.2413405418395995,0.3,0.0,18220,0.0003
618,-526.6666666666666,9,24,6144,200.0,0.00015551085,0.00022571373265236616,54.815433502197266,0.44377386569976807,137.75544815063478,-1.2255721986293793,0.3,0.0,18230,0.0003
619,-518.75,10,25,6400,200.0,0.00014827959,-0.0003517247037962079,42.42586898803711,0.7798699736595154,84.82722206115723,-1.2262243926525116,0.3,0.0,18240,0.0003
619,-515.1515151515151,10,26,6656,200.0,0.00028969184,-0.0011129018617793917,22.25339698791504,-0.005344867706298828,70.58187961578369,-1.2353264451026917,0.3,0.0,18250,0.0003
621,-514.7058823529412,11,27,6912,200.0,0.0005973012,-0.0010123701562406496,29.05394744873047,0.7417784929275513,82.5659008026123,-1.2364339590072633,0.3,0.0,18260,0.0003
622,-511.42857142857144,11,28,7168,200.0,0.0004440446,-0.000865144410636276,20.72907066345215,-1.62900710105896,59.51037311553955,-1.2246529638767243,0.3,0.0,18270,0.0003
622,-505.4054054054054,11,29,7424,200.0,0.0006242676,-0.0005976739805191756,12.794920921325684,0.13002228736877441,23.028117084503172,-1.215014398097992,0.3,0.0,18280,0.0003
623,-502.63157894736844,12,30,7680,200.0,0.0010497204,-9.389885235577822e-05,19.65384864807129,-0.005279898643493652,52.671231746673584,-1.2035359501838685,0.3,0.0,18290,0.0003
623,-500.0,12,31,7936,200.0,0.00034805806,-0.000660658348351717,8.867643356323242,-0.15248358249664307,24.300514936447144,-1.1947871088981628,0.3,0.0,18300,0.0003
624,-497.5,13,32,8192,200.0,0.0038632213,-0.0018948932178318501,5.714639663696289,0.14070123434066772,22.98077526092529,-1.202850478887558,0.3,0.003515625,18310,0.0003
623,-507.14285714285717,13,33,8448,200.0,0.001071275,0.0021174450288526715,166.83056640625,0.6362544298171997,293.4580665588379,-1.2605893790721894,0.3,0.0,18320,0.0003
624,-505.8139534883721,13,34,8704,200.0,0.00025553792,-0.0009114600135944784,146.82440185546875,0.5091167688369751,311.5534133911133,-1.2621533513069152,0.3,0.0,18330,0.0003
625,-504.54545454545456,14,35,8960,200.0,0.002233474,-0.00696643041446805,58.4497184753418,0.36993658542633057,103.82095489501953,-1.252870011329651,0.3,0.000390625,18340,0.0003
625,-508.69565217391306,14,36,9216,200.0,0.0052883597,-0.011044019227847457,37.250083923339844,0.3869215250015259,109.51665077209472,-1.2114406645298004,0.3,0.00546875,18350,0.0003
626,-517.0212765957447,15,37,9472,200.0,0.00035945303,-0.0015819091117009521,201.40936279296875,0.5523577928543091,303.01008529663085,-1.1873619914054871,0.3,0.0,18360,0.0003
626,-523.9583333333334,15,38,9728,200.0,0.00012538931,-0.0002447397098876536,274.09161376953125,0.20935237407684326,470.9559387207031,-1.1946271240711213,0.3,0.0,18370,0.0003
626,-521.4285714285714,15,39,9984,200.0,0.00053771515,-0.001027720153797418,130.37649536132812,0.6901236176490784,248.2901153564453,-1.1940607130527496,0.3,0.0,18380,0.0003
626,-523.5294117647059,16,40,10240,200.0,0.00011423393,-5.7832105085253716e-05,111.93448638916016,0.7372128963470459,220.45747909545898,-1.1828695952892303,0.3,0.0,18390,0.0003
836,19600.0,0,1,256,200.0,0.0008858859,-0.002780797053128481,44.4285774230957,-0.3047713041305542,144.95904350280762,-1.1794440150260925,0.3,0.0,18400,0.0003
723,19600.0,0,2,512,200.0,0.0,-5.934620276093483e-07,183239.4375,0.0,357539.7578125,-0.009115359326824547,0.3,0.0,18010,0.0003
689,17133.333333333332,1,3,768,200.0,8.266652e-06,-0.0004672711598686874,95999.953125,-1.1920928955078125e-07,204963.184375,-0.5616415470838547,0.3,0.0,18020,0.0003
674,18120.0,1,4,1024,200.0,1.9659754e-05,-0.0001302985241636634,171545.78125,0.0,345800.234375,-0.11044933311641217,0.3,0.0,18030,0.0003
666,18225.0,1,5,1280,200.0,2.2351742e-08,-2.573628444224596e-05,159265.59375,1.1920928955078125e-07,330345.875,-0.015891870390623807,0.3,0.0,18040,0.0003
665,18421.428571428572,2,6,1536,200.0,3.2952754e-05,-0.0002523555886000395,165157.5,-1.1920928955078125e-07,318431.2375,-0.10923106595873833,0.3,0.0,18050,0.0003
658,18556.25,2,7,1792,200.0,8.892268e-06,-0.0003536901902407408,175997.25,0.0,353396.465625,-0.009995199693366884,0.3,0.0,18060,0.0003
655,18080.0,3,8,2048,200.0,0.00016760384,-0.0010122942971065641,77523.203125,0.0,178153.040625,-0.5899618417024612,0.3,0.0,18070,0.0003
649,17272.727272727272,3,9,2304,200.0,9.343727e-06,-9.270405862480403e-05,151785.265625,0.0,315229.8484375,-0.09387833643704653,0.3,0.0,18080,0.0003
647,17466.666666666668,3,10,2560,200.0,5.1250914e-05,-0.0006273567210882902,78155.84375,5.960464477539063e-08,155036.92109375,-0.7414630740880966,0.3,0.0,18090,0.0003
645,17403.571428571428,4,11,2816,200.0,5.3737313e-06,-6.067042704671621e-05,150581.140625,0.0,306649.6515625,-0.1498530238866806,0.3,0.0,18100,0.0003
644,17470.0,4,12,3072,200.0,1.0438496e-05,-0.0004375189426355064,135954.53125,0.0,271310.009375,-0.29556499868631364,0.3,0.0,18110,0.0003
643,17384.375,5,13,3328,200.0,2.0351727e-06,-0.00011230953969061374,121094.8671875,0.0,241043.27890625,-0.29407683461904527,0.3,0.0,18120,0.0003
644,17508.823529411766,5,14,3584,200.0,0.0003500029,-0.0030462192371487617,162896.40625,0.0,331317.0171875,-0.10582438111305237,0.3,0.0,18130,0.0003
643,17713.157894736843,5,15,3840,200.0,1.4761463e-07,-5.497680976986885e-05,175936.3125,0.0,354600.7609375,-0.037070884741842745,0.3,0.0,18140,0.0003
642,17677.5,6,16,4096,200.0,4.1274587e-05,-0.0005069870734587312,167613.71875,5.960464477539063e-08,324278.428125,-0.03024807618930936,0.3,0.0,18150,0.0003
641,17769.04761904762,6,17,4352,200.0,1.1431985e-06,-0.0003139561391435564,143115.25,0.0,300003.5875,-0.21518585979938507,0.3,0.0,18160,0.0003
639,17680.434782608696,7,18,4608,200.0,2.3609027e-07,-6.232041632756591e-05,144785.53125,-1.1920928955078125e-07,300149.4984375,-0.14335819594562055,0.3,0.0,18170,0.0003
639,17645.833333333332,7,19,4864,200.0,7.948838e-07,-0.00014979050029069186,116775.125,0.0,242641.828125,-0.33359929025173185,0.3,0.0,18180,0.0003
638,17644.0,8,20,5120,200.0,8.920673e-06,-0.0004977684235200286,124906.46875,0.0,251505.48125,-0.36854508966207505,0.3,0.0,18190,0.0003
639,17719.23076923077,8,21,5376,200.0,1.8905848e-07,-5.871253088116646e-05,177305.78125,-1.1920928955078125e-07,353235.0,-0.0615718049928546,0.3,0.0,18200,0.0003
638,17764.285714285714,8,22,5632,200.0,7.8533776e-07,-0.0001265714061446488,146657.6875,-1.1920928955078125e-07,280488.1859375,-0.21971295773983002,0.3,0.0,18210,0.0003
638,17812.068965517243,9,23,5888,200.0,8.242205e-08,-5.435873754322529e-06,150864.921875,0.0,318593.7015625,-0.04189225560985506,0.3,0.0,18220,0.0003
639,17865.0,9,24,6144,200.0,3.3993274e-08,-3.697490319609642e-06,172265.15625,0.0,343783.3921875,-0.031631607096642256,0.3,0.0,18230,0.0003
640,17885.9375,9,25,6400,200.0,0.0,6.025657057762146e-08,175773.71875,1.1920928955078125e-07,352352.7765625,-0.0060967808356508614,0.3,0.0,18240,0.0003
640,17937.878787878788,10,26,6656,200.0,5.6042336e-07,-0.00013842277694493533,139667.8125,5.960464477539063e-08,296370.9421875,-0.22194830030202867,0.3,0.0,18250,0.0003
640,17958.823529411766,10,27,6912,200.0,0.0,-6.833113729953766e-07,170183.09375,0.0,352004.7265625,-0.02183426357805729,0.3,0.0,18260,0.0003
640,18005.714285714286,11,28,7168,200.0,8.4517524e-08,-8.981849532574415e-05,161105.03125,1.1920928955078125e-07,316229.7015625,-0.09394311979413032,0.3,0.0,18270,0.0003
640,18089.18918918919,11,29,7424,200.0,4.246831e-07,1.4532404020428657e-05,173889.796875,0.0,346605.0375,-0.025074193906039,0.3,0.0,18280,0.0003
640,17978.947368421053,11,30,7680,200.0,2.0023435e-08,-1.2519920710474253e-05,160986.171875,1.1920928955078125e-07,319464.465625,-0.03512514745816588,0.3,0.0,18290,0.0003
640,18020.51282051282,12,31,7936,200.0,1.187902e-06,-0.00012725741835311054,114773.2734375,-1.1920928955078125e-07,236878.440625,-0.4504780977964401,0.3,0.0,18300,0.0003
640,18060.0,12,32,8192,200.0,0.0,-1.802109181880951e-08,173923.59375,0.0,350810.6265625,-0.004577866243198514,0.3,0.0,18310,0.0003
640,17867.85714285714,13,33,8448,200.0,2.230052e-06,-6.24996144324541e-05,161221.3125,0.0,328709.8421875,-0.039671050198376176,0.3,0.0,18320,0.0003
640,17908.13953488372,13,34,8704,200.0,0.00029571936,-0.001051039295271039,38860.984375,0.0,84347.5109375,-0.8087973684072495,0.3,0.0,18330,0.0003
639,17934.090909090908,14,35,8960,200.0,1.1199154e-07,1.48524297401309e-05,173088.21875,-1.1920928955078125e-07,336805.378125,-0.055656918417662384,0.3,0.0,18340,0.0003
639,18006.521739130436,14,36,9216,200.0,0.0,1.8046237528324128e-06,168107.671875,0.0,349935.0265625,-0.02207951117306948,0.3,0.0,18350,0.0003
639,18040.425531914894,14,37,9472,200.0,0.0,-5.21994661539793e-07,161449.234375,0.0,325515.7171875,-0.007057799072936177,0.3,0.0,18360,0.0003
639,18065.625,15,38,9728,200.0,9.778887e-09,-4.246528260409832e-06,173307.90625,1.1920928955078125e-07,338145.3140625,-0.05254779690876603,0.3,0.0,18370,0.0003
639,18019.38775510204,15,39,9984,200.0,4.9415976e-06,-7.27089587599039e-05,155485.078125,0.0,304391.3640625,-0.20877690613269806,0.3,0.0,18380,0.0003
639,17939.21568627451,16,40,10240,200.0,1.1306256e-06,-5.637325812131166e-05,145846.828125,5.960464477539063e-08,285913.26875,-0.19399312064051627,0.3,0.0,18390,0.0003
822,-400.0,0,1,256,200.0,5.110493e-05,-0.0010798527393490076,79400.7734375,-1.1920928955078125e-07,182722.85625,-0.5585867807269096,0.3,0.0,18400,0.0003
720,-425.0,0,2,512,200.0,0.0025670915,-0.0033011528197675944,26.299869537353516,0.337108850479126,80.37701797485352,-1.190630888938904,0.3,0.0,18410,0.0003
688,-566.6666666666666,1,3,768,200.0,0.0022203776,-0.0037504979874938725,46.44493865966797,0.8367694020271301,97.03990669250489,-1.1979617357254029,0.3,0.00078125,18420,0.0003
681,-630.0,1,4,1024,200.0,0.0004293688,-0.00038514118641614915,123.23290252685547,0.6117963790893555,301.3550407409668,-1.2092534601688385,0.3,0.0,18430,0.0003
670,-591.6666666666666,1,5,1280,200.0,0.00021518813,-0.0020378916524350643,228.80667114257812,0.18130749464035034,500.3213745117188,-1.2028857052326203,0.3,0.0,18440,0.0003
662,-650.0,2,6,1536,200.0,3.5801437e-05,-0.00014776797033846378,35.06582260131836,0.5820170640945435,126.59685478210449,-1.1989494919776917,0.3,0.0,18450,0.0003
662,-662.5,2,7,1792,200.0,1.0914868e-05,-0.00010426032822579146,142.77096557617188,0.5748177766799927,337.5128562927246,-1.1976051449775695,0.3,0.0,18460,0.0003
660,-655.0,3,8,2048,200.0,0.00032352633,-0.0019107088795863093,24.418886184692383,-0.9651662111282349,77.01195888519287,-1.1946275055408477,0.3,0.000390625,18470,0.0003
659,-659.0909090909091,3,9,2304,200.0,0.00038527092,-0.0013464216375723482,148.10348510742188,0.6843292713165283,268.8787895202637,-1.193766975402832,0.3,0.0,18480,0.0003
659,-641.6666666666666,3,10,2560,200.0,0.0004049635,-0.002068710932508111,125.463623046875,0.5506010055541992,315.53148956298827,-1.1754850029945374,0.3,0.0,18490,0.0003
658,-607.1428571428571,4,11,2816,200.0,5.1636016e-05,0.00016925400123000146,17.627727508544922,0.14908981323242188,59.87060308456421,-1.1533987462520598,0.3,0.0,18500,0.0003
657,-593.3333333333334,4,12,3072,200.0,4.8755435e-05,-0.00017108464962802827,35.83631134033203,-0.44124460220336914,78.88588237762451,-1.1517991364002227,0.3,0.0,18510,0.0003
655,-581.25,5,13,3328,200.0,0.0010719225,-0.0012793886940926313,16.508743286132812,0.22388583421707153,30.610803508758544,-1.164342075586319,0.3,0.0,18520,0.0003
653,-594.1176470588235,5,14,3584,200.0,0.0009971303,0.002076833392493427,46.03396987915039,0.848453164100647,100.73731117248535,-1.1736906826496125,0.3,0.0,18530,0.0003
648,-584.2105263157895,5,15,3840,200.0,0.0002013878,-2.0982278510928153e-05,91.70403289794922,0.3327533006668091,269.61415100097656,-1.1676433861255646,0.3,0.0,18540,0.0003
649,-575.0,6,16,4096,200.0,0.0001218135,-0.0004025780828669667,88.4926528930664,0.4256811738014221,146.4119083404541,-1.1689120173454284,0.3,0.0,18550,0.0003
650,-566.6666666666666,6,17,4352,200.0,0.0017985429,-0.0024832522496581076,9.983477592468262,0.010450303554534912,31.010481548309325,-1.1878070831298828,0.3,0.003125,18560,0.0003
649,-569.5652173913044,7,18,4608,200.0,0.0011267711,-0.00235379789955914,45.39433288574219,0.8133394718170166,148.58510246276856,-1.218204790353775,0.3,0.0,18570,0.0003
650,-562.5,7,19,4864,200.0,0.00011730264,8.863077964633703e-05,97.3409652709961,0.38009846210479736,314.76362228393555,-1.2312020123004914,0.3,0.0,18580,0.0003
650,-556.0,7,20,5120,200.0,0.0010900216,-0.0026151633588597178,20.795150756835938,-0.166792631149292,28.774499654769897,-1.2380229771137237,0.3,0.0,18590,0.0003
650,-550.0,8,21,5376,200.0,0.0025999523,-0.002873274078592658,7.676478862762451,-0.5192612409591675,32.71475577354431,-1.251821941137314,0.3,0.0,18600,0.0003
650,-551.7857142857143,8,22,5632,200.0,0.0023343472,-0.003748593688942492,33.99233627319336,0.40242600440979004,112.93416213989258,-1.2610245645046234,0.3,0.0,18610,0.0003
650,-548.2758620689655,9,23,5888,200.0,0.0007186439,-0.003415973740629852,74.76226043701172,0.7587847113609314,182.3812515258789,-1.2589852392673493,0.3,0.00078125,18620,0.0003
649,-548.3333333333334,9,24,6144,200.0,0.00043193786,-0.0008137958822771907,37.05792999267578,0.3366931676864624,130.74129829406738,-1.2717848062515258,0.3,0.0,18630,0.0003
649,-556.25,9,25,6400,200.0,0.00021588663,0.0004018554231151938,190.01873779296875,0.2221217155456543,469.7320053100586,-1.2861174464225769,0.3,0.0,18640,0.0003
650,-553.030303030303,10,26,6656,200.0,0.00015921332,-0.0012046643532812595,101.05928802490234,0.40912723541259766,250.6132553100586,-1.29216787815094,0.3,0.0,18650,0.0003
650,-548.5294117647059,10,27,6912,200.0,0.0031797858,-0.00597543481271714,13.821066856384277,0.5817195177078247,37.120517826080324,-1.3105226755142212,0.3,0.0,18660,0.0003
649,-544.2857142857143,11,28,7168,200.0,0.004781536,-0.004017679416574538,18.65745735168457,-0.6700822114944458,49.542131423950195,-1.3345004558563232,0.3,0.0,18670,0.0003
649,-554.0540540540541,11,29,7424,200.0,0.0028419518,-0.0045390483690425755,76.18091583251953,0.5414034724235535,192.2498435974121,-1.2962428152561187,0.3,0.0,18680,0.0003
649,-550.0,11,30,7680,200.0,0.0012793681,-0.0032755537424236534,118.22359466552734,0.5194885730743408,300.8769660949707,-1.2566914856433868,0.3,0.0,18690,0.0003
650,-548.7179487179487,12,31,7936,200.0,0.002005901,-0.0027230077655985953,22.998859405517578,0.4385124444961548,50.388318347930905,-1.2140970885753632,0.3,0.0,18700,0.0003
