time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
7680,30,900,8,362.9736842105263,200.0,0.00012325705,-1.9675075113773346,0.0003,0.0,0.3,-0.0010071778669953346,15310.267504882813,0.11954176425933838,8345.1650390625,1490
7936,31,902,8,362.0,200.0,0.0135071995,-1.823464459180832,0.0003,0.001953125,0.3,-0.0068522170186042786,24335.1794921875,0.08414387702941895,11328.404296875,1500
8192,32,905,9,365.925,200.0,0.009856485,-1.673832356929779,0.0003,0.003125,0.3,-0.002845970238558948,9735.227112579345,0.18865889310836792,4957.2119140625,1510
8448,33,908,9,367.42857142857144,200.0,0.0021212073,-1.5709068953990937,0.0003,0.0,0.3,-0.0019110904773697256,13091.077307128906,0.13906395435333252,10095.5029296875,1520
8704,34,908,9,367.6046511627907,200.0,0.0010948498,-1.5619753003120422,0.0003,0.0,0.3,-0.0011900645680725575,23560.85654296875,0.1998196244239807,12106.8974609375,1530
8960,35,908,9,365.90909090909093,200.0,0.0010900095,-1.6430923461914062,0.0003,0.0,0.3,-0.0036455624736845492,13124.741467285156,0.20296281576156616,8425.4423828125,1540
9216,36,908,10,366.4782608695652,200.0,0.00054209214,-1.4925573348999024,0.0003,0.0,0.3,-0.0007402158109471202,6466.226333618164,0.14101535081863403,6102.94921875,1550
9472,37,908,10,371.40425531914894,200.0,0.0015519818,-1.6692977488040923,0.0003,0.0,0.3,-0.0019288408104330302,24308.82941894531,0.16622012853622437,20410.08203125,1560
9728,38,908,10,371.7708333333333,200.0,0.0022833794,-1.4298251926898957,0.0003,0.0,0.3,-0.0018996820319443942,16024.862329101563,0.23665916919708252,5353.0859375,1570
9984,39,907,10,371.265306122449,200.0,0.0017697688,-1.41902557015419,0.0003,0.00078125,0.3,-0.0026441198540851476,14389.973388671875,0.22389471530914307,3377.420654296875,1580
