time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
34,1049,8,200.0,8704,-2706.279069767442,387.90303192138674,0.0003,0.0037030869,166.74974060058594,-0.7039766401052475,-0.013295295159332454,0.008984375,-2.7298927307128906e-05,330,0.3
35,1049,8,200.0,8960,-2660.2272727272725,139.30693893432618,0.0003,0.039696682,59.221031188964844,-0.7551450043916702,-0.01039659078232944,0.120703125,-2.384185791015625e-06,340,0.3
36,1046,8,200.0,9216,-2575.217391304348,487.99619522094724,0.0003,0.002288605,252.30789184570312,-0.8042132139205933,-0.0037194959120824935,0.0,1.0907649993896484e-05,350,0.3
37,1047,9,200.0,9472,-2521.7021276595747,149.9256290435791,0.0003,0.030675396,73.73112487792969,-0.7337770223617553,-0.013371988292783498,0.0875,-1.0967254638671875e-05,360,0.3
38,1046,9,200.0,9728,-2479.5833333333335,1210.5755584716796,0.0003,0.0013028616,684.7200317382812,-0.7039666950702668,0.0015927088912576436,0.0,-5.364418029785156e-06,370,0.3
39,1048,9,200.0,9984,-2440.204081632653,99.38709144592285,0.0003,0.01599954,41.06212615966797,-0.6454750329256058,-0.005876350868493319,0.0625,2.0265579223632812e-05,380,0.3
40,1048,9,200.0,10240,-2368.0392156862745,99.58049621582032,0.0003,0.0076710526,71.34077453613281,-0.6020938098430634,-0.006261889520101249,0.0125,-1.0251998901367188e-05,390,0.3
1,1462,0,200.0,256,-500.0,145.7950241088867,0.0003,0.0019330056,66.19966888427734,-0.5098885953426361,-0.0025219983188435437,0.001171875,9.5367431640625e-07,400,0.3
2,1221,0,200.0,512,-475.0,56.042854404449464,0.0003,0.020296533,25.687728881835938,-2.5243828892707825,-0.020634549984242766,0.03125,-0.04168713092803955,410,0.3
3,1163,0,200.0,768,-483.3333333333333,54.359165573120116,0.0003,0.031312414,12.874029159545898,-2.516710269451141,-0.02194506407249719,0.143359375,0.001490175724029541,420,0.3
4,1123,0,200.0,1024,-460.0,26.652116584777833,0.0003,0.02983816,1.0559176206588745,-2.506816589832306,-0.011092122993431985,0.069921875,0.0013225078582763672,430,0.3
5,1101,1,200.0,1280,-450.0,30.73967218399048,0.0003,0.0127634015,16.771121978759766,-2.427913045883179,-0.015312276245094836,0.02265625,-0.0035587549209594727,440,0.3
6,1097,1,200.0,1536,-450.0,2.121036630868912,0.0003,0.015079656,0.3444504737854004,-2.4703390836715697,-0.0027633838122710585,0.0296875,0.0007508397102355957,450,0.3
7,1096,1,200.0,1792,-443.75,28.98854355812073,0.0003,0.03576488,10.897846221923828,-2.446202301979065,-0.021808865107595922,0.06796875,0.009576380252838135,460,0.3
8,1100,1,200.0,2048,-446.0,61.494071865081786,0.0003,0.009270228,37.53812026977539,-2.3890475988388062,-0.006489267502911389,0.010546875,0.05938911437988281,470,0.3
9,1097,2,200.0,2304,-441.8181818181818,53.541331672668456,0.0003,0.010188069,32.858131408691406,-2.346222198009491,-0.013975214725360275,0.00390625,0.04565912485122681,480,0.3
10,1095,2,200.0,2560,-438.3333333333333,93.36035232543945,0.0003,0.002349072,24.24665641784668,-2.333884584903717,-0.002745002950541675,0.0,-3.382490634918213,490,0.3
11,1098,2,200.0,2816,-427.85714285714283,31.138852643966676,0.0003,0.001050181,8.258251190185547,-2.3227089762687685,-0.0019669705769047143,0.0,-1.3311350345611572,500,0.3
12,1098,2,200.0,3072,-426.0,26.21258772611618,0.0003,0.0011362343,1.693259358406067,-2.3447712659835815,-0.0015882504638284444,0.0,-3.806666374206543,510,0.3
13,1099,3,200.0,3328,-424.375,1.408715757727623,0.0003,0.0667886,0.2863180339336395,-2.361305069923401,-0.033858799003064634,0.253515625,-0.05804896354675293,520,0.3
14,1098,3,200.0,3584,-422.94117647058823,1.3493304342031478,0.0003,0.0545742,0.2727363109588623,-2.275469648838043,-0.02215813254006207,0.1890625,0.012584090232849121,530,0.3
15,1094,3,200.0,3840,-420.5263157894737,1.3705761071294547,0.0003,0.056166295,0.16720539331436157,-2.2271275162696837,-0.024247517064213752,0.300390625,-0.0126420259475708,540,0.3
16,1094,3,200.0,4096,-420.0,3.5759071588516234,0.0003,0.018134175,1.6233601570129395,-2.1887088775634767,-0.008659327356144785,0.006640625,0.017525017261505127,550,0.3
17,1095,3,200.0,4352,-419.04761904761904,34.39283289909363,0.0003,0.008245983,23.168468475341797,-2.1353767037391664,-0.0015188893768936396,0.0,-0.03177905082702637,560,0.3
18,1093,4,200.0,4608,-417.39130434782606,1.3768495328724384,0.0003,0.06721255,0.7303279638290405,-2.2681114792823793,-0.03331116996705532,0.337109375,-0.0003489255905151367,570,0.3
19,1097,4,200.0,4864,-416.6666666666667,2.651696538925171,0.0003,0.056912877,1.8197247982025146,-2.3535187602043153,-0.01923699618782848,0.12890625,0.0017352700233459473,580,0.3
20,1085,4,200.0,5120,-416.0,1.3802539698779583,0.0003,0.046294294,0.034366607666015625,-2.3073716878890993,-0.013985046674497426,0.1140625,-0.0029066801071166992,590,0.3
21,1079,4,200.0,5376,-415.38461538461536,1.3688173025846482,0.0003,0.03686718,1.0330413579940796,-2.234292244911194,-0.017929906118661167,0.058984375,0.00010842084884643555,600,0.3
22,1079,5,200.0,5632,-413.92857142857144,2.369318723678589,0.0003,0.05032655,1.4212450981140137,-2.082924598455429,-0.020824136724695564,0.141796875,-0.0009177923202514648,610,0.3
23,1077,5,200.0,5888,-413.44827586206895,2.5931887209415434,0.0003,0.054717213,1.9181476831436157,-2.0747093141078947,-0.02582851783372462,0.253125,0.0044980645179748535,620,0.3
24,1076,5,200.0,6144,-413.0,1.3814459279179574,0.0003,0.042252153,0.6501964330673218,-1.9610847294330598,-0.012743750354275107,0.09375,-0.011540532112121582,630,0.3
25,1076,5,200.0,6400,-412.1875,1.3710418313741684,0.0003,0.013552477,0.4408518075942993,-1.9234227061271667,-0.009155042609199882,0.03125,0.0007151365280151367,640,0.3
26,1077,6,200.0,6656,-411.8181818181818,2.665528655052185,0.0003,0.013484605,1.7222108840942383,-1.840900903940201,-0.008812052989378571,0.009375,-3.516674041748047e-05,650,0.3
27,1080,6,200.0,6912,-411.47058823529414,1.3770451232790948,0.0003,0.014819911,0.3702910542488098,-1.857673168182373,-0.008663966739550232,0.046484375,-0.0007718801498413086,660,0.3
28,1074,6,200.0,7168,-410.57142857142856,2.372220924496651,0.0003,0.027582189,0.5788206458091736,-1.9035069465637207,-0.009315409022383392,0.040625,0.00042808055877685547,670,0.3
29,1071,6,200.0,7424,-410.0,2.3222203135490416,0.0003,0.048068378,0.6072335243225098,-2.0247877895832063,-0.018913871562108397,0.1609375,0.007515311241149902,680,0.3
