time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
4,200.0,20,466.8,1050,5120,1209.0091491699218,0.001953125,-1.1857492923736572,-0.004340576357208192,0.32175832986831665,616.5296630859375,2590,0.3,0.0028187162,0.0003
5,200.0,21,471.15384615384613,1048,5376,403.3924934387207,0.0,-1.7643847167491913,-0.0014338006149046123,0.2063976526260376,169.68064880371094,2600,0.3,0.005792754,0.0003
5,200.0,22,477.14285714285717,1048,5632,891.3539016723632,0.0,-1.3698370516300202,0.00017709091771394013,0.4198992848396301,388.8337707519531,2610,0.3,0.0006331566,0.0003
5,200.0,23,516.8965517241379,1046,5888,720.5310104370117,0.00078125,-1.3643844664096831,-0.003669765079393983,0.23968112468719482,503.37689208984375,2620,0.3,0.0011154835,0.0003
5,200.0,24,505.6666666666667,1046,6144,864.842253112793,0.005859375,-1.1562460839748383,-0.003667479124851525,0.4330924153327942,672.1053466796875,2630,0.3,0.001164692,0.0003
6,200.0,25,517.5,1044,6400,376.12272357940674,0.004296875,-1.4363537013530732,-0.006897016521543264,0.48701590299606323,27.101469039916992,2640,0.3,0.007899469,0.0003
6,200.0,26,516.060606060606,1044,6656,932.5359466552734,0.023046875,-1.4694580793380738,-0.0045756998006254435,0.44660258293151855,662.9402465820312,2650,0.3,0.008313108,0.0003
6,200.0,27,507.6470588235294,1046,6912,516.0301467895508,0.01640625,-1.4252961874008179,-0.007646634941920638,0.47044646739959717,270.2083740234375,2660,0.3,0.008705013,0.0003
6,200.0,28,498.2857142857143,1048,7168,350.8504390716553,0.01796875,-1.5131137907505035,-0.01055856472812593,0.3036344647407532,216.7534942626953,2670,0.3,0.008377888,0.0003
7,200.0,29,547.2972972972973,1045,7424,760.1907592773438,0.0,-1.2516600012779235,0.00012373749632388353,0.39911311864852905,339.9239807128906,2680,0.3,0.00068384525,0.0003
7,200.0,30,533.1578947368421,1046,7680,1132.8188934326172,0.0015625,-1.1700590550899506,-0.002046253439038992,0.41680359840393066,664.5332641601562,2690,0.3,0.0016372742,0.0003
7,200.0,31,556.1538461538462,1045,7936,463.67601470947267,0.0015625,-1.3694397866725923,-0.004095549741759896,0.49527180194854736,153.4118194580078,2700,0.3,0.0017434552,0.0003
7,200.0,32,551.5,1046,8192,987.0004699707031,0.0,-1.0929160594940186,-0.0008036721730604768,0.29510486125946045,398.6190490722656,2710,0.3,0.0008843513,0.0003
8,200.0,33,563.8095238095239,1046,8448,459.1528839111328,0.08125,-1.584913432598114,-0.007557609537616372,0.3537812829017639,170.0662384033203,2720,0.3,0.033879578,0.0003
8,200.0,34,560.9302325581396,1047,8704,1001.9534286499023,0.009765625,-1.4388441920280457,-0.008672586642205715,0.44085872173309326,521.3638916015625,2730,0.3,0.0047377828,0.0003
8,200.0,35,557.0454545454545,1046,8960,342.06889190673826,0.091015625,-1.7625210642814637,-0.015319922333583235,0.5104661583900452,105.66127014160156,2740,0.3,0.05032161,0.0003
8,200.0,36,574.1304347826087,1046,9216,357.6453347206116,0.0015625,-1.70872443318367,-0.006039994873572141,0.5202805995941162,63.91324234008789,2750,0.3,0.0012598669,0.0003
9,200.0,37,581.7021276595744,1046,9472,909.8734985351563,0.029296875,-1.3764821946620942,-0.012452104222029447,0.47869056463241577,265.4079284667969,2760,0.3,0.02167923,0.0003
9,200.0,38,563.9583333333334,1046,9728,594.2081115722656,0.000390625,-1.3021947383880614,-0.0028073586930986495,0.4706331491470337,441.7838134765625,2770,0.3,0.0021439393,0.0003
9,200.0,39,561.2244897959183,1046,9984,287.65404014587403,0.01875,-1.6509218394756318,-0.005268867959966883,0.42204636335372925,206.6744384765625,2780,0.3,0.0059945136,0.0003
9,200.0,40,562.7450980392157,1046,10240,650.7921432495117,0.002734375,-1.5450860261917114,-0.004219675553031266,0.41557562351226807,177.8473663330078,2790,0.3,0.0014756329,0.0003
0,200.0,1,1397.0,1320,256,401.26079177856445,0.002734375,-1.4087170660495758,-0.0031816538656130435,0.492556095123291,210.7772674560547,2800,0.3,0.0018208027,0.0003
0,200.0,2,1146.5,1185,512,1287.0508056640624,0.003125,-1.8760019302368165,-0.004459477495402098,0.35450607538223267,708.4701538085938,2410,0.3,0.005675644,0.0003
0,200.0,3,749.3333333333334,1134,768,462.40367431640624,0.01015625,-2.078830635547638,-0.009646578843239694,0.3801332116127014,142.03732299804688,2420,0.3,0.010461716,0.0003
0,200.0,4,463.0,1112,1024,491.7358222961426,0.041015625,-1.5039062082767487,-0.01795301290694624,0.34318405389785767,265.3092346191406,2430,0.3,0.02768664,0.0003
1,200.0,5,335.5,1095,1280,348.4554672241211,0.051171875,-1.5861117243766785,-0.018465382512658834,0.42256081104278564,257.3253479003906,2440,0.3,0.019427227,0.0003
1,200.0,6,456.7142857142857,1082,1536,440.5339496612549,0.008984375,-1.9706490337848663,-0.0039653642103075985,0.4255104064941406,158.7562255859375,2450,0.3,0.0115238,0.0003
1,200.0,7,513.5,1045,1792,934.5685348510742,0.0,-1.8379086256027222,-0.0017340558348223566,0.4115836024284363,190.6334686279297,2460,0.3,0.0036972326,0.0003
1,200.0,8,508.0,1035,2048,837.9891662597656,0.005078125,-1.6978866457939148,-0.0011093193665146829,0.3644424080848694,506.65399169921875,2470,0.3,0.0042992868,0.0003
2,200.0,9,432.09090909090907,1029,2304,364.84421310424807,0.000390625,-1.7467237293720246,-0.0034383015939965845,0.3688417673110962,94.78597259521484,2480,0.3,0.0022948862,0.0003
2,200.0,10,465.6666666666667,1026,2560,161.00627675056458,0.013671875,-1.7358025848865508,-0.005621620267629623,0.4388699531555176,8.451251983642578,2490,0.3,0.008287487,0.0003
2,200.0,11,570.8571428571429,1020,2816,1171.2641967773438,0.095703125,-1.6431339144706727,-0.00663107824511826,0.40938931703567505,553.3757934570312,2500,0.3,0.018293165,0.0003
3,200.0,12,629.4,1020,3072,1261.9123565673829,0.02265625,-1.5330419301986695,-0.0020027491729706524,0.2706528306007385,794.6553344726562,2510,0.3,0.005828685,0.0003
3,200.0,13,587.625,1020,3328,967.4980316162109,0.074609375,-1.4578212201595306,-0.007801523013040423,0.3231569528579712,553.5479736328125,2520,0.3,0.012677206,0.0003
3,200.0,14,619.0,1021,3584,719.3897094726562,0.076171875,-1.7204856991767883,-0.010584987234324217,0.2979886531829834,391.9690246582031,2530,0.3,0.016169425,0.0003
3,200.0,15,545.7368421052631,1020,3840,440.6841407775879,0.036328125,-1.5126003682613374,-0.004755477653816342,0.41083216667175293,190.1206817626953,2540,0.3,0.013966225,0.0003
3,200.0,16,561.3,1024,4096,342.574471282959,0.00078125,-1.5287266433238984,-0.000778889819048345,0.4297615885734558,196.52476501464844,2550,0.3,0.0021612137,0.0003
4,200.0,17,611.0952380952381,1025,4352,1022.2738433837891,0.0109375,-1.6625000894069673,-0.0033003431744873524,0.41160547733306885,347.5721435546875,2560,0.3,0.00900282,0.0003
4,200.0,18,607.7826086956521,1025,4608,1118.952066040039,0.0,-1.5465105295181274,-0.001395807322114706,0.4274134039878845,616.1145629882812,2570,0.3,0.0010680775,0.0003
4,200.0,19,639.9166666666666,1024,4864,317.96991500854494,0.0078125,-1.6398083686828613,-0.0029524145647883415,0.4139426350593567,105.0234146118164,2580,0.3,0.007354385,0.0003
5,200.0,20,623.88,1018,5120,985.3070526123047,0.05234375,-1.4739748895168305,-0.004449194250628352,0.4477570056915283,703.3231201171875,2590,0.3,0.015949558,0.0003
5,200.0,21,625.8461538461538,1018,5376,652.6239044189454,0.1078125,-1.3373352944850923,-0.0023399648256599904,0.4138419032096863,378.376708984375,2600,0.3,0.01761128,0.0003
5,200.0,22,611.8571428571429,1017,5632,416.6303405761719,0.087890625,-1.6107123911380767,-0.007677180040627718,0.4421311616897583,159.34165954589844,2610,0.3,0.043253183,0.0003
5,200.0,23,629.1379310344828,1017,5888,687.4867065429687,0.0,-1.2486180126667024,-0.0005309258820489049,-0.04638063907623291,332.7185974121094,2620,0.3,0.0011215331,0.0003
6,200.0,24,655.3,1018,6144,1343.768814086914,0.0,-1.4729331016540528,-0.0008136667311191559,0.37208956480026245,278.8616027832031,2630,0.3,0.0014795696,0.0003
6,200.0,25,693.28125,1018,6400,1094.7552917480468,0.009375,-1.304055917263031,-0.002134580526035279,0.4351995587348938,398.31048583984375,2640,0.3,0.006305038,0.0003
6,200.0,26,682.5454545454545,1019,6656,893.2742584228515,0.090234375,-1.3840108513832092,-0.0038276493083685636,0.42069917917251587,352.885986328125,2650,0.3,0.061668724,0.0003
6,200.0,27,676.6764705882352,1020,6912,736.8914352416992,0.01328125,-1.8847427427768708,-0.006213785614818335,0.3815065622329712,569.0524291992188,2660,0.3,0.009357102,0.0003
7,200.0,28,661.9714285714285,1022,7168,515.705436706543,0.0015625,-1.9211577892303466,-0.002784491004422307,0.44566649198532104,250.6318359375,2670,0.3,0.005201925,0.0003
7,200.0,29,652.2432432432432,1022,7424,36.58858158588409,0.121484375,-1.9287958204746247,-0.022334931418299675,0.33841609954833984,0.812604546546936,2680,0.3,0.047515616,0.0003
7,200.0,30,627.1052631578947,1024,7680,979.5204925537109,0.008984375,-1.5968741297721862,-0.002495279093272984,0.37652987241744995,407.982421875,2690,0.3,0.008736026,0.0003
7,200.0,31,610.2307692307693,1025,7936,199.0158124923706,0.006640625,-1.4841063022613525,-0.004998325812630355,0.3459412455558777,175.4267578125,2700,0.3,0.0052414574,0.0003
7,200.0,32,635.65,1025,8192,713.3833435058593,0.012109375,-0.8545218706130981,-0.0033106365939602257,0.48550790548324585,347.42767333984375,2710,0.3,0.0066393977,0.0003
8,200.0,33,629.7619047619048,1025,8448,666.5093017578125,0.0171875,-1.236006146669388,-0.001011519762687385,0.35990095138549805,474.2767333984375,2720,0.3,0.015738405,0.0003
8,200.0,34,636.2093023255813,1024,8704,746.9973510742187,0.013671875,-1.4356374204158784,-0.0006669787690043449,0.4735499620437622,329.5653381347656,2730,0.3,0.01032456,0.0003
