rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl
-404.5833333333333,200.0,4864,19,9,535,1.4250234097242356,4.2319297790527344e-05,0.0003,0.3,-2.100088095664978,0.041796875,580,-0.013819077308289707,0.9391529560089111,0.029889394
-404.4,200.0,5120,20,9,535,1.5271071374416352,-0.0015984773635864258,0.0003,0.3,-2.082958436012268,0.002734375,590,-0.007094002142548561,0.7058607935905457,0.009246657
-401.9230769230769,200.0,5376,21,10,536,10.04345178604126,0.0004140138626098633,0.0003,0.3,-2.171186900138855,0.03515625,600,-0.013187243510037661,4.219418048858643,0.024736093
-401.7857142857143,200.0,5632,22,10,536,0.7121720165014267,0.0023192167282104492,0.0003,0.3,-1.9915325164794921,0.021484375,610,-0.009617915377020836,0.2886536717414856,0.013489207
-400.6896551724138,200.0,5888,23,11,534,6.782916927337647,0.0006911158561706543,0.0003,0.3,-2.1999027848243715,0.062890625,620,-0.013402201561257243,3.2919259071350098,0.020576611
-400.6666666666667,200.0,6144,24,11,535,0.708782109618187,0.0001671910285949707,0.0003,0.3,-2.2881173491477966,0.0,630,-0.0050561436451971534,0.3091433644294739,0.004178742
-399.6875,200.0,6400,25,11,534,2.844266468286514,-0.0003256797790527344,0.0003,0.3,-2.226886749267578,0.1421875,640,-0.025342499651014806,1.3045563697814941,0.024581347
-399.6969696969697,200.0,6656,26,12,533,1.9092049419879913,-0.00033342838287353516,0.0003,0.3,-2.242979943752289,0.07734375,650,-0.021504838345572354,0.7682458162307739,0.028875496
-399.4117647058824,200.0,6912,27,12,534,1.4210683107376099,0.001170814037322998,0.0003,0.3,-1.910468477010727,0.04296875,660,-0.014492870098911226,0.2893977165222168,0.022009395
-399.42857142857144,200.0,7168,28,13,533,0.5745029006153345,0.002746105194091797,0.0003,0.3,-2.122171151638031,0.019921875,670,-0.010315262735821307,0.09619730710983276,0.015289567
-400.27027027027026,200.0,7424,29,13,535,1.440490898489952,-0.0012127161026000977,0.0003,0.3,-2.3195907354354857,0.02109375,680,-0.012916022818535567,0.9935895800590515,0.013668846
-399.7368421052632,200.0,7680,30,14,533,28.55952444076538,9.97781753540039e-05,0.0003,0.3,-2.35190212726593,0.007421875,690,-0.010200638510286807,8.518847465515137,0.009908923
-401.02564102564105,200.0,7936,31,14,533,23.755708038806915,0.0007793903350830078,0.0003,0.3,-2.322045397758484,0.0,700,-0.010078130674082785,3.4582090377807617,0.006021848
-400.0,200.0,8192,32,15,532,6.269106531143189,-0.00010442733764648438,0.0003,0.3,-2.3490603804588317,0.0,710,-0.0044295414816588165,2.6643247604370117,0.0027089966
-399.76190476190476,200.0,8448,33,15,531,1.427506211400032,0.004075109958648682,0.0003,0.3,-2.355515682697296,0.072265625,720,-0.012091870210133493,0.7585369348526001,0.023509357
-398.83720930232556,200.0,8704,34,16,530,7.696849083900451,-0.0017906427383422852,0.0003,0.3,-2.2875211238861084,0.020703125,730,-0.0032447206787765024,3.9519662857055664,0.008143948
-398.8636363636364,200.0,8960,35,16,528,0.9221598505973816,0.016738712787628174,0.0003,0.3,-2.199410843849182,0.058203125,740,-0.010470874886959792,0.2725731134414673,0.029356543
-397.82608695652175,200.0,9216,36,17,528,0.6109051145613194,-0.0043610334396362305,0.0003,0.3,-2.1980677127838133,0.0546875,750,-0.012751249689608812,0.2201562225818634,0.019569144
-397.2340425531915,200.0,9472,37,17,527,16.07694959640503,0.0007508397102355957,0.0003,0.3,-2.2752565145492554,0.027734375,760,-0.004927308252081275,8.799596786499023,0.018053735
-397.0833333333333,200.0,9728,38,18,526,1.430534029006958,-0.0021173954010009766,0.0003,0.3,-2.2129366517066957,0.054296875,770,-0.01519285850226879,1.0000821352005005,0.015209898
-397.14285714285717,200.0,9984,39,19,524,0.5755269341170788,0.002043604850769043,0.0003,0.3,-2.2660159349441527,0.0203125,780,-0.013358464976772667,0.163678377866745,0.019870084
-396.8627450980392,200.0,10240,40,19,524,3.703264516592026,6.842613220214844e-05,0.0003,0.3,-2.3207319140434266,0.036328125,790,-0.0001191585324704647,1.6363141536712646,0.015071545
-400.0,200.0,256,1,0,730,1.1026968106627464,0.0003650188446044922,0.0003,0.3,-2.2934117674827577,0.09453125,800,-0.019796262215822934,0.2065056562423706,0.028890025
-385.0,200.0,512,2,0,571,6.985485345125198,-0.021000981330871582,0.0003,0.3,-2.2275259256362916,0.09609375,410,-0.017809445131570102,1.9295239448547363,0.04275411
-383.3333333333333,200.0,768,3,1,542,2.3888686865568163,0.0520787239074707,0.0003,0.3,-2.291279125213623,0.155078125,420,-0.021643959823995827,1.6944727897644043,0.029813908
-390.0,200.0,1024,4,1,552,33.77620348930359,0.02994358539581299,0.0003,0.3,-2.3509900689125063,0.080859375,430,-0.016655376460403205,14.70966911315918,0.015949763
-225.0,200.0,1280,5,2,542,6145.860185909271,0.004066348075866699,0.0003,0.3,-2.162631368637085,0.0,440,0.005155232548713684,3875.183349609375,0.0031411399
-105.71428571428571,200.0,1536,6,2,546,9057.547534179688,0.0033358335494995117,0.0003,0.3,-2.172820544242859,0.0,450,9.991012047976256e-05,5120.10693359375,2.0456733e-05
-140.0,200.0,1792,7,3,547,51.43003015518188,-0.9546819925308228,0.0003,0.3,-2.1378469586372377,0.0,460,-0.001259974716231227,16.527170181274414,0.00047375401
-97.0,200.0,2048,8,3,546,32.24423778653145,-0.10861849784851074,0.0003,0.3,-2.2878120064735414,0.0046875,470,-0.002170443953946233,6.496115684509277,0.011340613
-122.72727272727273,200.0,2304,9,4,547,8726.239916992188,0.022358357906341553,0.0003,0.3,-2.3176077127456667,0.0328125,480,0.004850032739341259,3925.369873046875,0.014543841
-145.83333333333334,200.0,2560,10,4,552,30.15282759666443,-0.01804673671722412,0.0003,0.3,-2.2307413935661318,0.09375,490,-0.025472788233309986,11.71512508392334,0.041093424
-39.285714285714285,200.0,2816,11,5,551,9013.91750793457,0.01574951410293579,0.0003,0.3,-2.2442429184913637,0.0,500,-0.0009613720932975412,1381.800048828125,0.0006703539
-62.666666666666664,200.0,3072,12,5,555,8286.862786483765,0.029535949230194092,0.0003,0.3,-2.1953511357307436,0.0,510,-0.00027793939225375654,5920.31298828125,5.543558e-05
-88.125,200.0,3328,13,6,553,9.909357929229737,-0.979242205619812,0.0003,0.3,-2.099944460391998,0.0,520,-0.005394458654336631,3.5590922832489014,0.0045740223
-47.64705882352941,200.0,3584,14,6,550,8049.404514312744,0.019619107246398926,0.0003,0.3,-1.9519163072109222,0.0,530,-0.00025300681591033936,1306.883544921875,0.0021435416
21.57894736842105,200.0,3840,15,6,550,7159.366780495644,0.0424841046333313,0.0003,0.3,-1.957807981967926,0.0,540,-4.208972677588463e-06,4993.87353515625,8.51939e-05
3.0,200.0,4096,16,7,546,5928.812817001342,0.041894376277923584,0.0003,0.3,-2.231849479675293,0.0,550,-0.0015726989367976785,3769.017578125,0.0005888771
-15.714285714285714,200.0,4352,17,7,545,6.157328510284424,-4.113592624664307,0.0003,0.3,-2.246305227279663,0.012109375,560,-0.0035120359156280757,0.9090145230293274,0.012304088
-3.0434782608695654,200.0,4608,18,8,546,5917.608261013031,0.04195117950439453,0.0003,0.3,-2.054164457321167,0.0,570,0.0008227636106312274,5906.72900390625,0.00061060535
22.083333333333332,200.0,4864,19,8,547,7940.141491699219,0.046902239322662354,0.0003,0.3,-2.329877507686615,0.0,580,-0.0006103479769080878,2184.014404296875,0.0005088416
5.6,200.0,5120,20,9,549,13.561599111557006,-9.794577598571777,0.0003,0.3,-2.091992664337158,0.0,590,-0.004311150906141847,4.472348213195801,0.0019272638
-8.076923076923077,200.0,5376,21,9,546,11.369275212287903,-0.4012339115142822,0.0003,0.3,-2.1820050716400146,0.0,600,-0.005155664368066937,5.782984733581543,0.005491872
33.92857142857143,200.0,5632,22,10,543,7418.340041065216,0.007830321788787842,0.0003,0.3,-1.9230383217334748,0.0,610,-0.002808973891660571,6107.5419921875,0.00080981804
19.310344827586206,200.0,5888,23,10,539,8559.397848510742,0.0246008038520813,0.0003,0.3,-2.015203082561493,0.0,620,-0.0008135666605085135,5593.96484375,5.677808e-05
39.333333333333336,200.0,6144,24,11,536,9256.28539428711,-0.004137516021728516,0.0003,0.3,-2.0954889059066772,0.0,630,-0.00022361092269420623,4935.14111328125,9.819167e-06
40.3125,200.0,6400,25,11,536,13.232398915290833,-6.975160598754883,0.0003,0.3,-2.078341245651245,0.0,640,-0.004457642789930105,3.314903736114502,0.0009828941
57.27272727272727,200.0,6656,26,12,533,8534.835052490234,0.04148334264755249,0.0003,0.3,-2.028735136985779,0.0,650,-0.0005551286623813212,973.1627807617188,0.0006681634
71.76470588235294,200.0,6912,27,12,534,15870.7865234375,0.0387035608291626,0.0003,0.3,-1.8707651257514955,0.0,660,-0.0002574406564235687,7249.9541015625,4.015304e-05
86.85714285714286,200.0,7168,28,13,534,7812.976530265808,0.04601943492889404,0.0003,0.3,-1.9045250773429871,0.0,670,-0.0004513198509812355,2833.2724609375,4.5183115e-05
114.86486486486487,200.0,7424,29,13,532,9072.773614501953,-0.0010830163955688477,0.0003,0.3,-1.9153163254261016,0.0,680,-0.00023679304867982865,6052.15380859375,2.1156156e-05
127.63157894736842,200.0,7680,30,14,532,15805.683462524414,0.04158145189285278,0.0003,0.3,-1.8913670241832734,0.0,690,-0.00022370493970811368,15344.8544921875,7.80751e-06
141.02564102564102,200.0,7936,31,14,529,9140.406691741944,0.01104593276977539,0.0003,0.3,-1.9045392274856567,0.0,700,-0.0004626500653102994,3415.06298828125,4.7698384e-05
152.5,200.0,8192,32,15,527,7936.579396820069,0.024112164974212646,0.0003,0.3,-1.9450608730316161,0.0,710,-0.000143458042293787,40.01000213623047,3.461982e-05
