time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
15,952,200.0,59,373.53333333333336,15104,0.032751381397247314,26595.32392578125,8538.171875,0.0016087908763438464,0.3,0.0003,0.005620488,580,-2.321434199810028,0.0
16,952,200.0,60,379.0394736842105,15360,0.07987946271896362,41592.9119140625,20871.181640625,-0.0017939603421837091,0.3,0.0003,0.00045414479,590,-2.2716313362121583,0.0
16,953,200.0,61,388.14102564102564,15616,0.05778920650482178,15966.690307617188,8236.580078125,-0.006902344501577317,0.3,0.0003,0.00440347,600,-2.286572253704071,0.00546875
16,953,200.0,62,386.63291139240505,15872,0.05700784921646118,28971.377783203126,17795.98046875,-0.0033313099294900892,0.3,0.0003,0.0019019234,610,-2.2962011456489564,0.0
16,953,200.0,63,386.3125,16128,0.07831805944442749,17401.228173828124,9703.5634765625,-0.0008654534118250013,0.3,0.0003,0.0002232606,620,-2.3276735663414003,0.0
17,953,200.0,64,385.18518518518516,16384,0.07787114381790161,9253.98031616211,5903.48583984375,-0.0009005808678921312,0.3,0.0003,0.00016406598,630,-2.3216620564460753,0.0
17,953,200.0,65,395.9277108433735,16640,0.05914759635925293,14963.4802734375,3320.385498046875,-0.0033596685621887445,0.3,0.0003,0.0012278075,640,-2.3031646609306335,0.0
17,953,200.0,66,392.48809523809524,16896,0.07555127143859863,35007.66865234375,15187.0849609375,-0.0018470510724000633,0.3,0.0003,0.000615821,650,-2.2432503700256348,0.0
17,953,200.0,67,391.4823529411765,17152,0.02819877862930298,18646.84931640625,4216.64892578125,-0.002724057249724865,0.3,0.0003,0.0003551927,660,-2.2299808502197265,0.0
18,953,200.0,68,386.3333333333333,17408,0.0887521505355835,12514.132165527344,7922.78466796875,-0.0017239100765436889,0.3,0.0003,0.00032601203,670,-2.1912870526313784,0.0
18,954,200.0,69,387.20454545454544,17664,0.0842517614364624,28116.014892578125,18317.087890625,-0.0007034989888779819,0.3,0.0003,0.00024678838,680,-2.199348258972168,0.0
18,954,200.0,70,386.8876404494382,17920,0.11085128784179688,13713.0201171875,11457.3642578125,-0.0007952859858050942,0.3,0.0003,0.00014400063,690,-2.1805550336837767,0.0
19,954,200.0,71,398.4,18176,0.11933064460754395,14318.595947265625,3772.584716796875,-0.00045016384683549404,0.3,0.0003,6.4487336e-05,700,-2.2220105290412904,0.0
19,954,200.0,72,397.8369565217391,18432,0.11219829320907593,14609.065356445313,8621.2314453125,-0.0013800285989418626,0.3,0.0003,0.000117445365,710,-2.1810028195381164,0.0
19,954,200.0,73,394.31182795698925,18688,0.03660160303115845,32080.692724609376,10752.0419921875,-0.002177603403106332,0.3,0.0003,0.00023596175,720,-2.228824770450592,0.0
19,954,200.0,74,392.8191489361702,18944,0.10875445604324341,18055.33505859375,10966.8740234375,-0.0005547478678636253,0.3,0.0003,7.1844785e-05,730,-2.2074302792549134,0.0
20,953,200.0,75,399.46875,19200,0.03837054967880249,19691.167846679688,9042.7578125,-0.0002327572787180543,0.3,0.0003,3.2947864e-05,740,-2.278192949295044,0.0
20,953,200.0,76,399.3917525773196,19456,0.09816056489944458,26589.173974609374,15853.560546875,-0.0010598900960758328,0.3,0.0003,0.00011493964,750,-2.2810137391090395,0.0
20,953,200.0,77,408.57142857142856,19712,0.1001787781715393,34462.4474609375,17906.693359375,-0.0008815216482616961,0.3,0.0003,0.00019730884,760,-2.2581639289855957,0.0
20,953,200.0,78,406.47474747474746,19968,0.1185692548751831,15604.373742675782,11127.3837890625,-0.001073780283331871,0.3,0.0003,0.0001406204,770,-2.2582633018493654,0.0
21,953,200.0,79,398.79,20224,0.10035336017608643,16812.89715576172,8815.587890625,-0.0018158025573939084,0.3,0.0003,0.00038973102,780,-2.2099424481391905,0.0
21,953,200.0,80,405.46,20480,0.019347727298736572,30056.8771484375,12218.017578125,-0.0027503209188580514,0.3,0.0003,0.0012224978,790,-2.1921366095542907,0.0
21,953,200.0,81,414.13,20736,0.06772744655609131,10556.2109375,7043.83056640625,-0.0006188340135850013,0.3,0.0003,0.00028857845,800,-2.185065817832947,0.0
22,953,200.0,82,421.77,20992,0.09501820802688599,9386.084716796875,6167.0888671875,-0.005531127081485465,0.3,0.0003,0.0021247747,810,-2.188847601413727,0.0
22,953,200.0,83,425.81,21248,0.1275852918624878,9957.330877685547,6374.38671875,0.001373490644618869,0.3,0.0003,0.0008333074,820,-2.21827050447464,0.0
22,954,200.0,84,426.7,21504,0.020615458488464355,28846.28798828125,17054.990234375,-0.0010149650741368532,0.3,0.0003,0.0002264136,830,-2.1935778498649596,0.0
22,954,200.0,85,431.91,21760,0.010625898838043213,16313.055419921875,9057.9365234375,-0.00045461701229214667,0.3,0.0003,0.00045532407,840,-2.213947904109955,0.0
23,954,200.0,86,438.34,22016,0.1567366123199463,1462.386248779297,534.9046020507812,-0.011005539540201425,0.3,0.0003,0.007217473,850,-2.201472783088684,0.000390625
23,954,200.0,87,445.56,22272,-0.09589529037475586,27946.133447265624,15191.927734375,-0.00041000968776643275,0.3,0.0003,0.004255863,860,-2.1266847610473634,0.0
23,954,200.0,88,443.38,22528,0.06171059608459473,39476.50390625,17128.21484375,-0.002839020546525717,0.3,0.0003,0.00045937696,870,-2.175650346279144,0.0
23,955,200.0,89,442.05,22784,0.07477807998657227,9978.823028564453,5776.30517578125,-0.01569824484176934,0.3,0.0003,0.020094557,880,-2.0831329822540283,0.01015625
24,955,200.0,90,470.7,23040,0.07352310419082642,20627.707177734374,6662.556640625,0.0007891451939940452,0.3,0.0003,0.01167873,890,-1.8304082691669463,0.0
24,955,200.0,91,469.99,23296,0.01084667444229126,39938.415625,19923.130859375,-0.0011895332485437394,0.3,0.0003,0.00012544496,900,-1.7877244293689727,0.0
24,955,200.0,92,472.44,23552,0.012845277786254883,15409.89443359375,4877.80810546875,-0.0009134702035225928,0.3,0.0003,0.00029479968,910,-1.7276935577392578,0.0
24,955,200.0,93,460.4,23808,0.07477492094039917,13736.517346191406,10208.7900390625,-0.002025133743882179,0.3,0.0003,0.001172174,920,-1.836232876777649,0.0
25,955,200.0,94,465.53,24064,0.11743634939193726,8685.867362976074,5766.72021484375,-0.00013198941014707087,0.3,0.0003,0.0006332039,930,-1.9014711678028107,0.0
25,956,200.0,95,464.98,24320,0.0748370885848999,26540.892822265625,17305.287109375,-0.002589191612787545,0.3,0.0003,0.0020119958,940,-1.8162974953651427,0.0
25,956,200.0,96,467.12,24576,0.08909720182418823,15066.348022460938,5298.75830078125,-0.0015518578235059976,0.3,0.0003,0.00027803984,950,-1.688832950592041,0.0
25,956,200.0,97,465.9,24832,0.11043167114257812,12957.41728515625,6843.67431640625,-0.0019250651355832815,0.3,0.0003,0.00078021106,960,-1.7753763675689698,0.0
26,956,200.0,98,467.9,25088,0.10137712955474854,17167.61669921875,11275.546875,-0.0012594466097652912,0.3,0.0003,0.0010566767,970,-1.74396510720253,0.0
26,956,200.0,99,472.59,25344,0.16772371530532837,18584.01740722656,5968.4013671875,-0.0002896851859986782,0.3,0.0003,0.0003117337,980,-1.7213825643062592,0.0
26,956,200.0,100,477.84,25600,0.023413121700286865,16999.631884765626,9732.94140625,-0.006688359775580466,0.3,0.0003,0.0041819504,990,-1.857156717777252,0.0
27,956,200.0,101,479.86,25856,0.11701035499572754,8527.298168945312,8338.2275390625,0.0014353747945278883,0.3,0.0003,0.00095087616,1000,-1.891705721616745,0.0
27,956,200.0,102,480.1,26112,0.059754908084869385,33228.5330078125,17767.033203125,-0.0010074401972815395,0.3,0.0003,0.00041771377,1010,-1.8164781272411346,0.0
27,956,200.0,103,486.67,26368,0.1385294795036316,16929.33603515625,3316.338623046875,-0.0007932891370728612,0.3,0.0003,0.00015127799,1020,-1.7949231684207916,0.0
27,956,200.0,104,491.06,26624,0.1404566764831543,12957.79150390625,5787.99755859375,-0.003663300513289869,0.3,0.0003,0.002444707,1030,-1.8602460622787476,0.0
28,956,200.0,105,491.25,26880,0.14479446411132812,27468.79892578125,13789.0595703125,-0.00836023292504251,0.3,0.0003,0.00862346,1040,-1.943830269575119,0.0
28,956,200.0,106,492.05,27136,0.04573410749435425,18818.19541015625,6107.83544921875,-0.0037044678349047898,0.3,0.0003,0.0015518265,1050,-1.9717458546161652,0.0
28,956,200.0,107,491.76,27392,0.11538028717041016,14636.00556640625,6934.33935546875,0.0005205691209994257,0.3,0.0003,6.760517e-05,1060,-2.0200905442237853,0.0
28,957,200.0,108,489.41,27648,0.1447376012802124,12679.63193359375,6570.51318359375,-0.004620187683030963,0.3,0.0003,0.003634547,1070,-2.0018018186092377,0.0
29,957,200.0,109,485.1,27904,0.09169584512710571,22008.9900390625,12432.8994140625,-0.0015504788490943611,0.3,0.0003,0.002817351,1080,-2.010326933860779,0.0
29,957,200.0,110,483.83,28160,0.03704500198364258,14013.997436523438,1745.564208984375,-0.0015957271680235863,0.3,0.0003,0.00046106847,1090,-2.0226168870925902,0.0
29,957,200.0,111,485.16,28416,0.16077160835266113,10191.808758544921,9362.9130859375,-0.0013790205353870987,0.3,0.0003,0.0002928418,1100,-2.017338144779205,0.0
29,957,200.0,112,486.35,28672,-0.05580902099609375,38145.833203125,11111.78125,4.8377783969044685e-05,0.3,0.0003,5.9963204e-05,1110,-2.0187195181846618,0.0
30,957,200.0,113,484.47,28928,0.06678235530853271,16321.340161132812,2779.07080078125,-0.00028668125160038473,0.3,0.0003,9.647338e-06,1120,-2.006232297420502,0.0
30,957,200.0,114,482.0,29184,0.15759658813476562,17262.420458984376,8123.46728515625,-0.005163451400585472,0.3,0.0003,0.0022096757,1130,-2.0327405095100404,0.0
30,957,200.0,115,474.26,29440,0.11058688163757324,14505.676245117187,5575.67578125,0.0005190514493733644,0.3,0.0003,0.0008918296,1140,-2.08364884853363,0.0
31,957,200.0,116,479.45,29696,0.13901692628860474,30945.410546875,15469.3037109375,-0.0009707605582661927,0.3,0.0003,0.00014770566,1150,-2.10223788022995,0.0
31,957,200.0,117,482.87,29952,0.11809247732162476,19560.559448242188,4211.09619140625,-0.0020417402498424052,0.3,0.0003,0.00059916126,1160,-2.1015302538871765,0.0
31,957,200.0,118,487.64,30208,0.033555805683135986,19587.941528320312,12637.4619140625,0.0017297152429819108,0.3,0.0003,0.00060883653,1170,-2.087179410457611,0.0
31,957,200.0,119,487.83,30464,-0.10685181617736816,22116.56884765625,6364.275390625,-0.0010920920642092824,0.3,0.0003,0.00012630457,1180,-2.095207941532135,0.0
32,957,200.0,120,491.1,30720,0.016608893871307373,20008.849951171876,13434.189453125,-0.006639216677285731,0.3,0.0003,0.0047617564,1190,-2.0468356013298035,0.0
32,957,200.0,121,494.55,30976,-0.0010260343551635742,36397.953515625,16664.01953125,-0.0033792793983593583,0.3,0.0003,0.0065318374,1200,-2.033090901374817,0.0
32,958,200.0,122,511.49,31232,0.08699649572372437,15805.077734375,3393.99755859375,6.596432067453861e-05,0.3,0.0003,9.76529e-05,1210,-2.0005150198936463,0.0
