rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl
200.0,9,1550.2083333333333,9728,38,1000,5673.707022094726,3127.670654296875,-0.005685302813071757,13570,0.0003,-2.0503617763519286,0.5567368268966675,0.3,0.0,0.006584635
200.0,9,1540.8163265306123,9984,39,1000,6426.175726318359,3765.716064453125,-0.0027735273819416762,13580,0.0003,-2.061584782600403,0.46294230222702026,0.3,0.0,0.0030437207
200.0,10,1542.1568627450981,10240,40,1000,6589.616516113281,2293.441162109375,-0.00287981842411682,13590,0.0003,-2.1300200700759886,0.4713088870048523,0.3,0.000390625,0.0019793434
200.0,0,1370.0,256,1,1284,12742.251684570312,2160.5986328125,-0.0011523687280714512,13600,0.0003,-2.018674772977829,0.480912446975708,0.3,0.0,0.0011372841
200.0,0,1590.0,512,2,1134,13737.35337524414,10467.458984375,-0.00398394170915708,13610,0.0003,-1.805217343568802,0.5857348442077637,0.3,0.013671875,0.007351611
200.0,0,1663.3333333333333,768,3,1091,7789.780120849609,664.5308837890625,-0.0005952893523499369,13620,0.0003,-1.866753304004669,0.6079037189483643,0.3,0.0,0.00061106496
200.0,0,1500.0,1024,4,1064,10980.271044921876,6861.73876953125,-0.0009811010560952127,13630,0.0003,-1.680363416671753,0.3855045437812805,0.3,0.0,0.0010895126
200.0,1,1428.3333333333333,1280,5,1058,13302.39072265625,3560.88427734375,-0.00169155215844512,13640,0.0003,-1.8950525939464569,0.5815353393554688,0.3,0.0,0.0010995411
200.0,1,1414.2857142857142,1536,6,1051,6543.112512207032,5150.80810546875,-0.0003831663285382092,13650,0.0003,-1.6882060408592223,0.6578189730644226,0.3,0.0,0.0014210239
200.0,1,1463.75,1792,7,1044,7598.392236328125,2006.2237548828125,0.0009696879191324115,13660,0.0003,-1.8512081742286681,0.5976862907409668,0.3,0.0,0.0011325215
200.0,1,1433.0,2048,8,1041,7635.285961914063,3952.537109375,-0.00045850391034036876,13670,0.0003,-1.8471610248088837,0.6207684278488159,0.3,0.0,0.00046959636
200.0,2,1419.090909090909,2304,9,1035,13239.511083984375,3871.473388671875,-0.00046309593599289654,13680,0.0003,-1.871443110704422,0.5804197192192078,0.3,0.0,0.00046957727
200.0,2,1409.1666666666667,2560,10,1032,7668.2081298828125,3267.73583984375,-0.00028381781885400414,13690,0.0003,-2.006805408000946,0.5769449472427368,0.3,0.0,0.00053269905
200.0,2,1398.5714285714287,2816,11,1030,7058.771029663086,6594.5263671875,-0.0032592270523309707,13700,0.0003,-1.8302467465400696,0.6578012704849243,0.3,0.01796875,0.009361133
200.0,2,1426.6666666666667,3072,12,1029,11316.118286132812,4812.681640625,-0.0007489555049687624,13710,0.0003,-1.860301321744919,0.6541796326637268,0.3,0.0,0.0011441021
200.0,3,1450.625,3328,13,1028,6625.553076171875,3182.148681640625,-0.000285778078250587,13720,0.0003,-1.769865447282791,0.6294201612472534,0.3,0.00078125,0.0032338556
200.0,3,1451.764705882353,3584,14,1023,8578.64033203125,4807.5888671875,-0.001795112108811736,13730,0.0003,-1.7093759536743165,0.4879090189933777,0.3,0.0,0.0017788478
200.0,3,1477.3684210526317,3840,15,1022,6489.243713378906,4129.8369140625,-0.006412502261810005,13740,0.0003,-1.7561731338500977,0.6343318223953247,0.3,0.0234375,0.015304573
200.0,4,1494.0,4096,16,1021,13599.279321289063,8995.3701171875,-0.0015858444618061184,13750,0.0003,-1.8085715115070342,0.529288649559021,0.3,0.0,0.0021776648
