rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/loss,train/learning_rate
200.0,5888,5,876.551724137931,1024,23,5020,0.3,-2.1845815181732178,15120.556567382813,0.0,-0.0004374216077849269,0.28862982988357544,0.0026442988,4014.802490234375,0.0003
200.0,6144,5,879.3333333333334,1025,24,5030,0.3,-2.1912927627563477,8885.983557128906,0.0,-0.0024326653918251397,0.291286826133728,0.004197548,5121.341796875,0.0003
200.0,6400,6,874.375,1025,25,5040,0.3,-2.1437340497970583,8900.497619628906,0.005859375,-0.004814891703426838,0.26397407054901123,0.005334926,7110.8017578125,0.0003
200.0,6656,6,870.9090909090909,1023,26,5050,0.3,-2.325369894504547,7417.307958984375,0.0,-0.0007274104747921229,0.29556238651275635,0.0025084494,3905.59912109375,0.0003
200.0,6912,6,879.1176470588235,1024,27,5060,0.3,-2.074135148525238,16148.951342773438,0.000390625,-0.0015027292305603624,0.30116957426071167,0.002827979,5015.130859375,0.0003
200.0,7168,6,871.7142857142857,1024,28,5070,0.3,-2.201735329627991,9045.951611328124,0.0,-0.0021171860164031385,0.3097459077835083,0.0018531978,3053.289794921875,0.0003
200.0,7424,7,887.5675675675676,1025,29,5080,0.3,-2.2620699524879457,8275.35245361328,0.02734375,-0.0031733497977256774,0.28977257013320923,0.015072672,5473.19482421875,0.0003
200.0,7680,7,875.2631578947369,1028,30,5090,0.3,-2.245967388153076,16006.33544921875,0.0,-0.0006761638913303613,0.3015657067298889,0.002280947,3589.050048828125,0.0003
200.0,7936,7,877.4358974358975,1029,31,5100,0.3,-2.2282159090042115,8375.279193115235,0.021484375,-0.0036938544828444718,0.28094416856765747,0.014461307,5887.52392578125,0.0003
200.0,8192,7,882.25,1030,32,5110,0.3,-2.2450793862342833,8082.332601928711,0.009375,-0.0058769321534782645,0.3014177680015564,0.016057517,4577.4140625,0.0003
200.0,8448,8,889.5238095238095,1030,33,5120,0.3,-2.333880376815796,10735.08494873047,0.004296875,-0.010643961187452079,0.1371389627456665,0.009012352,9123.7275390625,0.0003
200.0,8704,8,893.2558139534884,1031,34,5130,0.3,-2.233129823207855,15752.1103515625,0.0,-0.00027829641476273537,0.27014631032943726,0.0006832278,12057.6396484375,0.0003
200.0,8960,8,902.5,1031,35,5140,0.3,-2.28992782831192,8959.307586669922,0.0,-0.0016282564960420133,0.2876022458076477,0.0012893723,6031.869140625,0.0003
200.0,9216,8,873.2608695652174,1033,36,5150,0.3,-2.2844253301620485,10122.54755859375,0.00078125,-0.003579409956000745,0.29292619228363037,0.007242807,4568.537109375,0.0003
200.0,9472,9,870.4255319148937,1033,37,5160,0.3,-2.3043943643569946,7392.991397094726,0.0,-6.197746843099594e-05,0.28802919387817383,0.0024042677,5856.888671875,0.0003
200.0,9728,9,869.375,1032,38,5170,0.3,-2.3243552803993226,7919.810705566406,0.0,-0.00224543905351311,0.2873460054397583,0.002666719,2663.2529296875,0.0003
200.0,9984,9,870.8163265306123,1033,39,5180,0.3,-2.2943429708480836,8840.270092773437,0.02578125,-0.008875379408709704,0.27187442779541016,0.0139448475,6802.74169921875,0.0003
200.0,10240,9,869.0196078431372,1032,40,5190,0.3,-2.238661551475525,12557.531030273438,0.0,-0.003181845508515835,0.07844644784927368,0.0049237534,5776.23193359375,0.0003
200.0,256,0,610.0,1312,1,5200,0.3,-2.1422210812568663,23681.245947265626,0.012890625,-0.0043684934265911576,0.14544135332107544,0.009798471,4420.11083984375,0.0003
200.0,512,0,560.0,1171,2,4810,0.3,-2.1175528168678284,9402.981506347656,0.0,-0.0009179960703477264,0.27239787578582764,0.0005968553,6028.81494140625,0.0003
200.0,768,0,660.0,1143,3,4820,0.3,-2.134710228443146,4810.354371643067,0.015234375,-0.007642734493128955,0.2827441692352295,0.01397506,4639.29833984375,0.0003
200.0,1024,0,686.0,1130,4,4830,0.3,-2.1750564336776734,4573.225715255738,0.01328125,-0.00028960903873667123,0.27329421043395996,0.013095502,2951.947509765625,0.0003
200.0,1280,1,743.3333333333334,1124,5,4840,0.3,-2.1575648307800295,13660.518627929687,0.003515625,-0.0032898464938625692,0.15490847826004028,0.005475777,6405.22216796875,0.0003
200.0,1536,1,714.2857142857143,1120,6,4850,0.3,-2.1417144894599915,5118.5856658935545,0.005078125,-0.006562310690060258,0.27396780252456665,0.00961386,1891.246337890625,0.0003
200.0,1792,1,786.25,1111,7,4860,0.3,-2.0899322628974915,5096.831398010254,0.008984375,-0.005558991443831473,0.28251850605010986,0.012581721,3107.142578125,0.0003
200.0,2048,1,831.0,1102,8,4870,0.3,-2.011506676673889,9744.408068847657,0.015625,-0.006688326038420201,0.016454875469207764,0.015701909,8646.1201171875,0.0003
200.0,2304,2,855.4545454545455,1098,9,4880,0.3,-1.9733883082866668,9447.993273925782,0.00078125,-0.0035077530425041913,0.2826573848724365,0.0023076185,6263.72314453125,0.0003
200.0,2560,2,840.0,1094,10,4890,0.3,-2.0550955653190615,5061.626368713379,0.021484375,-0.004613181971944868,0.27151572704315186,0.022569448,452.8546447753906,0.0003
200.0,2816,2,885.0,1095,11,4900,0.3,-2.1709898829460146,4925.331410217285,0.08125,-0.005574683216400445,0.24201351404190063,0.048476018,3090.513671875,0.0003
200.0,3072,2,883.3333333333334,1092,12,4910,0.3,-2.035856580734253,9983.639575195313,0.0,-0.002236244175583124,0.2766791582107544,0.002179106,6553.57568359375,0.0003
200.0,3328,3,926.25,1089,13,4920,0.3,-2.204247605800629,5510.359135437012,0.026953125,-0.005070561752654612,0.30666232109069824,0.013784943,894.2442626953125,0.0003
200.0,3584,3,916.4705882352941,1084,14,4930,0.3,-2.1494351029396057,5832.235266113281,0.00234375,-0.003563331894110888,0.2819335460662842,0.0031175294,2393.929443359375,0.0003
200.0,3840,3,941.0526315789474,1082,15,4940,0.3,-2.0370838046073914,5428.7560363769535,0.044140625,-0.008297126321122051,0.2635806202888489,0.025381897,2110.06103515625,0.0003
200.0,4096,3,948.0,1078,16,4950,0.3,-2.0940636873245237,10464.243280029297,0.00625,-0.002325595403090119,0.2913491129875183,0.008425065,362.84295654296875,0.0003
200.0,4352,4,945.2380952380952,1079,17,4960,0.3,-2.204838955402374,5045.485213470459,0.000390625,-0.004198604845441878,0.2737336754798889,0.0056536123,1664.1427001953125,0.0003
200.0,4608,4,926.5217391304348,1077,18,4970,0.3,-2.1719666123390198,5460.992444610596,0.03046875,-0.00406238145660609,0.3080572485923767,0.017278222,3752.680908203125,0.0003
200.0,4864,4,911.6666666666666,1077,19,4980,0.3,-2.1423917174339295,9000.15828857422,0.00390625,-0.003274051891639829,0.2897663116455078,0.003236668,4446.2109375,0.0003
200.0,5120,4,917.6,1078,20,4990,0.3,-2.0609334230422975,5056.281631088257,0.00078125,-0.003423361713066697,0.24071961641311646,0.0045912364,3819.173583984375,0.0003
200.0,5376,4,913.4615384615385,1080,21,5000,0.3,-2.136141860485077,9957.280004882812,0.00625,-0.006771080289036035,0.013560116291046143,0.0029104208,7202.74951171875,0.0003
200.0,5632,5,907.1428571428571,1078,22,5010,0.3,-2.0349550187587737,4883.016193580627,0.00234375,-0.002119028300512582,0.09139424562454224,0.0029040396,192.15557861328125,0.0003
200.0,5888,5,914.8275862068965,1078,23,5020,0.3,-2.1258795499801635,9974.210803222657,0.000390625,-0.0027986668865196407,0.2902054190635681,0.00058880774,2342.912353515625,0.0003
200.0,6144,5,905.0,1077,24,5030,0.3,-2.040386509895325,4850.843621826172,0.002734375,-0.0026043171295896173,0.2987208962440491,0.0056332583,3053.83984375,0.0003
200.0,6400,5,900.9375,1078,25,5040,0.3,-2.127914583683014,4648.1184753417965,0.0,-0.0011998054571449757,0.2903985381126404,0.0014250753,3022.34326171875,0.0003
200.0,6656,6,907.5757575757576,1078,26,5050,0.3,-2.1050434947013854,4673.813786315918,0.003515625,-0.004539083922281861,0.290155827999115,0.0038911446,3095.83251953125,0.0003
200.0,6912,6,905.5882352941177,1078,27,5060,0.3,-2.053550159931183,9190.320962524414,0.0,-0.0010349664837121964,0.2944544553756714,0.0009322951,3131.19482421875,0.0003
200.0,7168,6,910.8571428571429,1073,28,5070,0.3,-2.0648449778556826,5140.096255493164,0.0,-0.0024345769081264733,0.2968093156814575,0.0010869689,319.14959716796875,0.0003
200.0,7424,6,918.1081081081081,1068,29,5080,0.3,-2.072306764125824,5240.9136215209965,0.00234375,-0.002987628779374063,0.2885932922363281,0.0023199716,189.01011657714844,0.0003
200.0,7680,7,921.578947368421,1067,30,5090,0.3,-1.6945895075798034,9821.868243408204,0.0,-0.00011033950140699744,0.20944392681121826,0.0026983616,4883.92822265625,0.0003
200.0,7936,7,919.4871794871794,1067,31,5100,0.3,-2.0615276098251343,4799.485319519043,0.01328125,-0.001442920882254839,0.3074827194213867,0.0012431426,1608.448486328125,0.0003
200.0,8192,7,930.0,1066,32,5110,0.3,-2.0737388372421264,4894.592375183105,0.105078125,-0.011351086758077144,0.29969024658203125,0.03998427,3242.468994140625,0.0003
200.0,8448,7,926.4285714285714,1065,33,5120,0.3,-1.691742742061615,5415.684716796875,0.029296875,-0.004568647965788842,0.2280970811843872,0.005252639,3507.05615234375,0.0003
200.0,8704,8,930.6976744186046,1065,34,5130,0.3,-2.1258293867111204,8843.902062988282,0.0,-0.0006859466899186373,0.2921012043952942,0.0014564828,2958.828857421875,0.0003
200.0,8960,8,934.3181818181819,1064,35,5140,0.3,-2.0761050462722777,5006.95414276123,0.001171875,-0.001741954544559121,0.31774193048477173,0.0031053538,4530.26611328125,0.0003
200.0,9216,8,937.6086956521739,1062,36,5150,0.3,-2.05458949804306,4758.355110931397,0.0,-0.0012147004483267665,0.3055090308189392,0.0019133112,1692.6876220703125,0.0003
200.0,9472,8,936.1702127659574,1062,37,5160,0.3,-1.9346881330013275,10358.956988525391,0.0,-0.001764918747358024,0.24902254343032837,0.0018676205,332.5093994140625,0.0003
200.0,9728,9,944.375,1061,38,5170,0.3,-2.0817161798477173,4785.031871032715,0.00390625,-0.002800585515797138,0.2878955006599426,0.002933845,2956.228515625,0.0003
200.0,9984,9,947.1428571428571,1060,39,5180,0.3,-2.0163812756538393,5227.003262329102,0.0,-0.002663120883516967,0.3170086145401001,0.0016365,4794.6669921875,0.0003
200.0,10240,9,945.2941176470588,1056,40,5190,0.3,-2.1467186212539673,4721.823213195801,0.001953125,-0.003776204539462924,0.2712443470954895,0.004106514,2989.437744140625,0.0003
200.0,256,0,950.0,1237,1,5200,0.3,-2.092291164398193,8886.87220172882,0.001953125,-0.0012941737892106175,0.30298471450805664,0.0026841697,172.44793701171875,0.0003
200.0,512,0,1140.0,1071,2,5210,0.3,-2.212205910682678,16177.635131835938,0.0,-0.0007092800573445856,0.25627321004867554,0.00053723226,6749.68115234375,0.0003
200.0,768,0,1043.3333333333333,1061,3,5220,0.3,-2.200906527042389,9261.367492675781,0.001171875,-0.0018432729877531529,0.25848203897476196,0.005308857,859.2516479492188,0.0003
200.0,1024,0,1104.0,1057,4,5230,0.3,-2.2708211064338686,8307.031243896485,0.012109375,-0.0015475118067115544,0.2622230052947998,0.00626243,1992.041015625,0.0003
200.0,1280,1,1060.0,1045,5,5240,0.3,-2.0191249787807464,16772.208056640626,0.0,-0.00039117186097428205,0.2147386074066162,0.0010176282,8913.923828125,0.0003
200.0,1536,1,1060.0,1033,6,5250,0.3,-2.1901221871376038,8553.460266113281,0.00078125,-0.0007278252276591956,0.2855837345123291,0.0035596797,4728.0869140625,0.0003
200.0,1792,1,1067.5,1026,7,5260,0.3,-2.309468138217926,9329.745874023438,0.0,-0.00010075517930090428,0.26592981815338135,0.00024075317,5642.9130859375,0.0003
200.0,2048,2,1048.0,1013,8,5270,0.3,-2.2436553597450257,8733.109747314453,0.0,-0.0005060235736891628,0.2426295280456543,0.0005081927,1683.1014404296875,0.0003
200.0,2304,2,1008.1818181818181,992,9,5280,0.3,-2.1932132720947264,14964.926318359376,0.0,-0.000741806160658598,0.29839396476745605,0.0017216518,3987.637451171875,0.0003
200.0,2560,2,995.8333333333334,966,10,5290,0.3,-2.2306208848953246,7680.510542297363,0.00546875,-0.0019321452593430877,0.31183159351348877,0.010048829,7530.7548828125,0.0003
200.0,2816,2,967.1428571428571,962,11,5300,0.3,-2.2505108952522277,9537.300341796876,0.064453125,-0.0015218581538647413,0.31380629539489746,0.017669417,7504.6982421875,0.0003
200.0,3072,3,990.0,965,12,5310,0.3,-2.1618937969207765,17995.571240234374,0.0,-0.0002914076787419617,0.23234647512435913,0.00080333743,12638.873046875,0.0003
200.0,3328,3,977.5,968,13,5320,0.3,-2.181167244911194,8688.0193359375,0.0,-0.0010598368942737579,0.28418564796447754,0.00050858594,1975.16064453125,0.0003
200.0,3584,3,998.8235294117648,973,14,5330,0.3,-2.226817083358765,8173.757727050781,0.0,-0.0005141612840816378,0.26510190963745117,0.00058752485,4809.31982421875,0.0003
200.0,3840,3,1010.0,973,15,5340,0.3,-2.1995497941970825,9835.152783203124,0.0,-0.0047101691365242,0.2790355682373047,0.0028351236,3756.149658203125,0.0003
200.0,4096,4,988.5,975,16,5350,0.3,-2.1770488023757935,14720.6087890625,0.0,-0.0010570880956947803,0.3115806579589844,0.0015047186,6231.591796875,0.0003
200.0,4352,4,954.2857142857143,973,17,5360,0.3,-2.158484971523285,7282.68078918457,0.058203125,-0.0033873435575515034,0.30291372537612915,0.031812266,3432.8779296875,0.0003
