time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
32,200.0,8192,-287.5,678,12,0.0,548.9703369140625,0.00013004174,710,0.4744710922241211,0.3,-0.001165211875922978,1211.3603881835938,-2.3680464386940003,0.0003
33,200.0,8448,-291.1904761904762,676,12,0.0,419.4090576171875,0.00036249263,720,0.237423837184906,0.3,-0.0014079556334763766,827.7947296142578,-2.366082179546356,0.0003
34,200.0,8704,-282.3255813953488,673,12,0.0,87.91349029541016,0.00020932895,730,-0.11916708946228027,0.3,-0.0008176713949069381,293.79968414306643,-2.404215371608734,0.0003
35,200.0,8960,-274.77272727272725,673,13,0.0,863.373046875,0.00020730658,740,-0.005231976509094238,0.3,-0.0018303740303963422,1817.1735290527345,-2.3944280624389647,0.0003
36,200.0,9216,-281.0869565217391,672,13,0.0,516.9075317382812,8.350634e-05,750,0.023760557174682617,0.3,-0.0010817500529810785,1665.3021423339844,-2.4071441411972048,0.0003
37,200.0,9472,-278.72340425531917,671,14,0.0,42.187896728515625,0.00020344462,760,-0.1270662546157837,0.3,-0.0015027075540274381,160.0676399230957,-2.388332521915436,0.0003
38,200.0,9728,-281.25,670,14,0.0,231.51412963867188,0.0005017549,770,0.42316877841949463,0.3,-0.0027238602982833982,514.4030364990234,-2.4078407406806948,0.0003
39,200.0,9984,-278.7755102040816,672,14,0.0,97.36325073242188,0.005732895,780,0.16473138332366943,0.3,-0.009690122539177537,167.7619728088379,-2.3824048399925233,0.0003
40,200.0,10240,-282.3529411764706,673,15,0.0,130.37069702148438,0.0015866638,790,0.4419615864753723,0.3,-0.0005056658992543817,621.5911239624023,-2.3698137998580933,0.0003
1,200.0,256,-190.0,894,0,0.0,53.74342727661133,0.0017276884,800,0.0805666446685791,0.3,-0.00284712384454906,137.74821929931642,-2.365020453929901,0.0003
2,200.0,512,-170.0,795,0,0.0,540.29736328125,0.010360241,410,-0.1797640323638916,0.3,-0.010279819718562067,1005.6904541015625,-2.1946109414100645,0.0003
3,200.0,768,-233.33333333333334,746,1,0.16328125,333.49591064453125,0.043586355,420,0.003464639186859131,0.3,-0.024431038298644125,1039.4018493652343,-2.2142480611801147,0.0003
4,200.0,1024,-236.0,731,1,0.001953125,94.11709594726562,0.016857054,430,0.1154744029045105,0.3,-0.014575789170339703,197.10463638305663,-2.196548891067505,0.0003
