rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-303.2,326,200.0,417,326,106752,0.021292426,9.803325247764587,0.052734375,4160,-0.01943878810852766,0.3,-1.9172500550746918,0.0003,7.019898891448975,0.07217937707901001
-298.8,326,200.0,418,327,107008,0.0018408955,477.3354667663574,0.0,4170,-0.0012429822003468872,0.3,-1.9191933929920197,0.0003,334.7123718261719,0.014817476272583008
-301.0,327,200.0,419,327,107264,0.00022788788,416.87622299194334,0.0,4180,-0.001387929101474583,0.3,-1.849179995059967,0.0003,127.58930206298828,0.004458308219909668
-301.3,327,200.0,420,328,107520,0.0055228276,409.69048767089845,0.00546875,4190,-0.005991730163805187,0.3,-1.8367983102798462,0.0003,164.69317626953125,-0.014779210090637207
-303.8,327,200.0,421,328,107776,0.0050934027,387.2945785522461,0.0,4200,-0.007936466485261917,0.3,-1.8522345423698425,0.0003,197.578857421875,1.0132789611816406e-06
-303.2,328,200.0,422,329,108032,0.00075011794,13.226602029800414,0.0,4210,0.00046043244656175376,0.3,-1.8487378060817719,0.0003,6.080874919891357,3.057718276977539e-05
-303.2,328,200.0,423,329,108288,0.00058824196,9.814818048477173,0.0,4220,-0.004596611065790057,0.3,-1.8268525719642639,0.0003,3.8594107627868652,4.4286251068115234e-05
-303.1,328,200.0,424,330,108544,0.0015506502,10.254283761978149,0.0,4230,-0.003202259377576411,0.3,-1.9768843591213225,0.0003,5.067538261413574,3.170967102050781e-05
-293.3,329,200.0,425,330,108800,0.006002176,12.252714228630065,0.00625,4240,-0.0047715917695313696,0.3,-1.9980973064899445,0.0003,5.641471862792969,4.708766937255859e-06
-296.0,329,200.0,426,330,109056,0.0019967062,1574.2772430419923,0.0,4250,0.00016924259252846242,0.3,-1.8915526449680329,0.0003,747.8426513671875,7.534027099609375e-05
-288.9,329,200.0,427,331,109312,0.0016286352,38.170312309265135,0.0,4260,-0.006165555014740675,0.3,-1.8329187989234925,0.0003,7.9400954246521,2.378225326538086e-05
-286.3,330,200.0,428,331,109568,0.0009188438,1537.0513580322265,0.0,4270,-0.0013945896178483963,0.3,-1.8878194451332093,0.0003,1039.6768798828125,4.589557647705078e-06
-290.4,330,200.0,429,332,109824,0.002070032,4.153475344181061,0.0,4280,-0.004042794345878065,0.3,-1.8803425669670104,0.0003,1.9229850769042969,-6.0677528381347656e-05
-287.8,330,200.0,430,332,110080,0.0005593924,391.8007183074951,0.0,4290,-0.0024793789023533465,0.3,-1.8552983343601226,0.0003,220.30152893066406,1.7762184143066406e-05
-287.1,331,200.0,431,333,110336,0.0043540318,7.474171876907349,0.00234375,4300,-0.0064509805291891095,0.3,-1.855869358778,0.0003,3.826230764389038,-1.1324882507324219e-05
-282.8,331,200.0,432,333,110592,0.00011166604,804.005534362793,0.0,4310,-0.00019153696484863758,0.3,-1.8673239290714263,0.0003,288.1020202636719,5.030632019042969e-05
-276.8,331,200.0,433,334,110848,0.000493363,1528.2733367919923,0.0,4320,-0.0019842133624479175,0.3,-1.8881699860095977,0.0003,710.5942993164062,0.0012160539627075195
-275.8,332,200.0,434,334,111104,0.00070954603,419.5334808349609,0.0,4330,-0.0012101208441890777,0.3,-1.865885353088379,0.0003,269.2393493652344,0.09886926412582397
-275.3,332,200.0,435,334,111360,0.0002714002,10.8828675031662,0.0,4340,-0.0016177506651729346,0.3,-1.8968454360961915,0.0003,5.0870513916015625,-0.011544346809387207
-276.4,332,200.0,436,335,111616,0.0012645728,3.655284249782562,0.0,4350,-0.004081129701808095,0.3,-1.8945330381393433,0.0003,1.3419561386108398,0.00010567903518676758
-281.2,333,200.0,437,335,111872,0.014653338,2.9729448795318603,0.0359375,4360,-0.010154249239712953,0.3,-1.84409921169281,0.0003,1.211213231086731,-0.00011420249938964844
-278.6,333,200.0,438,336,112128,0.00074399705,369.12062339782716,0.0,4370,-0.001767011289484799,0.3,-1.9698460817337036,0.0003,282.26885986328125,0.007287085056304932
-273.9,333,200.0,439,336,112384,0.00020647468,544.5557762145996,0.0,4380,-0.0004897996783256531,0.3,-1.866298097372055,0.0003,404.16107177734375,0.28620296716690063
